Nation,SailNo,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,R8,Boat,Total,Nett,Rank
RSA,8481,Thomas Funke,Peter Funke,TYC,3,1,1,2,1,2,2,(DNC),Gus,21,12,1
RSA,8445,Kyle Klaas,Robert von Gruenewaldt,PSC,(6.0),2,3,1,2,1,3,1,BRT,19,13,2
RSA,8789,Tony Murray,Dylan le Roux,PSC,2,(7.0),2,4,6,3,4,3,,31,24,3
RSA,8707,Albrecht Holm,Warwick Ham,PSC,(7.0),3,4,7,4,7,1,2,Aitsa,35,28,4
RSA,584*,Bronwen Klaas,CJ Millin,PSC,4,5,(6.0),3,5,4,5,5,Boondoggle,37,31,5
RSA,8882,Hans Rogotski,Alan Haylett,PSC,1,4,7,5,3,5,(DNC),DNC,-,43,34,6
RSA,7493,Mark Biagio,C. Becker,PSC,5,6,5,6,(7.0),6,6,4,Azzuri,45,38,7
RSA,4902,Jay D'engle,Marco Mare,PSC,(8.0),8,8,8,8,8,7,6,-,61,53,8
