Nation,Boat No,Helm,Crew,,Race 1,Race 2,Race 3,Points,Place
USA,8645,Jim Englert,Thad Melton,,1,2,1,4,1
USA,8012,Henry Amthor,Doug Amthor,,2,1,4,7,2
USA,7092,Ken Elliott,Alan Kilgore,,3,3,2,8,3
USA,6985,Dylan Breton,Mike Breton,,4,4,3,11,4
USA,8316,Nicholas Place,Les Crane,,5,5,5,15,5
