Nation,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
USA,8012,Henry Amthor,Doug Amthor,HYC,1,1,1,2,,,,1
USA,7092,Ken Elliott,Allan Kilgore,HYC,2,2,2,1,,,,2
USA,7573,Ali Meller,Steven Brown,WRSC,3,3,3,3,,,,3
USA,7776,Bob O'Brien,Betsy O'Brien,SSA,,,,,,,,4
USA,7199,Sterg Papadakis,Hans Crosby,NJ,,,,,,,,5
USA,8015,Monty Schumpert,Craig Schumpert,WRSC,,,,,,,,6
USA,8645,Jim Englert,Thad Melton,HYC,DNS,DNS,DNS,DNS,1,2,,7
