Nation,Sail,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,,Hull,Sails,,Total,Place
USA,8629,Tyler Moore,Scott Ikle,,3,-7,4,3,1,2,1,5,1,,Waterat/launcher,North,,20,1
USA,7318,Mike Zani,Peter Alarie,,2,1,5,4,-8,1,5,3,7,,Lindsay/bags,Ullman,,28,2
USA,8610,Nick Trotman,Mike Mills,,5,3,6,-9,2,3,3,1,8,,Rondar/launcher,Ullman,,31,3
USA,8018,Ethan Bixby,Mitch Rogers,,1,2,2,2,6,11,-12,6,5,,Waterat/bags,North,,35,4
USA,8645,Jim Englert,Thad Melton,,4,5,8,8,4,4,4,-11,6,,Waterat/launcher,Ullman/ North jib,,43,5
USA,8191,Macy Nelson,M. Mendelblatt,,7,-12,9,6,9,5,2,4,2,,Waterat/launcher,North,,44,6
USA,8012,Henry Amthor,Doug Amthor,,11,8,3,1,-14,9,6,2,11,,Waterat/bags,Ullman,,51,7
USA,7874,Josh Adams,Lars Guck,,9,6,7,-13,10,6,8,10,3,,Waterat/bags,Ullman?,,59,8
USA,8643,Barney Harris,Jessie Falsone,,10,9,12,-18,3,7,7,7,12,,Waterat/launcher,North,,67,9
USA,8263,Ali Meller,Curtis Hartmann,,-17,11,13,7,7,10,9,14,9,,Waterat/bags,North,,80,10
USA,8083,Neal Fowler,Dave Dyson,,8,4,1,5,5,13,14,33/DNF,(33)DNS,,Waterat/launcher,North,,83,11
USA,8660,Mark Bellerman,Art Gleason,,14,13,11,14,-20,8,10,9,4,,Lindsay (plastic)/bags,Norths,,83,12
USA,7879,Jonathan Phillips,Leslie Crane,,6,14,16,11,13,17,18,8,-18,,Waterat/bags,North,,103,13
GER,8542,Tom Swift,Martin Schoeler,,15,19,-19,16,11,14,11,13,10,,Rondar/launcher,Rebell,,109,14
USA,8085,Rene de la Rie,Monty Schumpert,,12,10,17,10,15,18,15,-22,15,,Waterat/bags,North,,112,15
USA,7151,Guy Addis,Geoff Arnold,,22,17,10,(33)RET,16,12,20,12,17,,Lindsay/bags,Ullman,,126,16
USA,8438,John Wyles,Alan Freedman,,19,15,18,-25,17,16,16,16,14,,Rondar/launcher,Hyde??,,131,17
USA,7606,Scott Mackey,Dan Treadwell,,33/DNS,20,24,12,25,19,13,15,16,,Waterat/bags,North?,,144,18
AUS,7823,Malcolm Higgins,Peter Epstein,,21,23,15,17,18,15,17,19,(33)DNF,,Rondar/launcher,Aussie?,,145,19
USA,7199,Sterg.   Papadakis,Stephen Broberg,,16,18,14,-28,23,22,21,20,20,,Lindsay/bags,North,,154,20
USA,7776,Robert O'Brien,Betsy O'Brien,,13,22,20,24,19,20,-24,21,23,,Waterat/bags,North,,162,21
USA,7684,Ki Kaiser,John Badtke,,18,21,-26,15,21,21,19,25,24,,Parker/bags,North,,164,22
USA,7346,Latane Montague,John Zakaib,,20,28,29,22,12,23,25,(33)DNF,21,,Waterat (woodlook)/launcher,North,,180,23
USA,8351,Tom Price,David Byron,,23,24,21,26,27,-27,22,17,22,,Rondar/launcher,North,,182,24
USA,8624,David Stetson,Michael Agrell,,25,16,27,21,22,29,-29,24,19,,Rondar/launcher,Pinnell & Bax,,183,25
USA,7685,G. Alexander,Mike Grassi,,24,-27,25,20,24,25,26,18,25,,Parker/bags,North,,187,26
USA,8024,David Chatham,Chuck Norris,,29,-31,23,19,30,30,27,23,13,,Rondar/launcher,Pinell & Bax?,,194,27
USA,5482,Chris Tuggle,Paul Muus,,26,26,22,23,26,26,23,33/DNF,(33)DNS,,Parker (Muus rebuild)/launcher,North,,205,28
USA,8011,Carrie Jones,Jeff Jones,,28,25,28,27,28,24,28,33/DNS,(33)DNS,,Waterat/bags,North,,221,29
USA,7356,Michael Goldstein,Andrew Gassman,,30,30,31,30,-31,28,30,26,26,,Ballenger/launcher,???,,231,30
USA,4565,Andrew Cole,Chris Coleman,,27,29,30,29,29,31,33/DNC,33/DNC,(33)DNS,,Parker/launcher,North,,241,31
USA,4936,Fred Liesegang,Dave Anderson,,33/DNF,32,32,33/DNF,32,33/DNC,31,(33)DNS,27,,Parker/launcher,North,,253,32
