Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total,#
,7685,Graham Alexander,Mark Koenig,7685 (Parker),0.75,0.75,0.75,(3),0.75,0.75,0.75,4.5,1
,8265,Jim Tuten,Nathan ...,8265 (Waterat),2,4,4,0.75,(4),2,2,14.75,2
,7061,Jason Breeden,Angela Breeden,7061 (Ballenger),(6),2,2,2,2,4,3,15,3
,0,Barrett Rhodes,Andrew Gassman,(768)(Rondar),3,(6),3,4,5,3,6,24,4
,6660,Parry Barclay,Geoff Cashman,6660 (Ballenger),5,3,5,6,(8),6,4,29,5
,7356,Mike Goldstein,Mike Kohn,7356 (Ballenger),(8),5,6,5,3,5,5,29,6
,7347,Phil Termin,Eric ...,7347 (Waterat),4,(8),7,8,6,7,7,39,7
,6663,Joe ...,Allan Brown,6663 (Ballenger),7,7,(8),7,7,8,8,44,8
,5816,Rick Blase Sr.,Rick Blase Jr.,5816 (? Ballenger,9,(DNF),9,9,9,(DNF),9,55,9
