Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,,PLACE
USA,0,Mike Martin,Howard Hamlin,,OCS,1,1,16,1
USA,8411,Bruce Tilley,Andy Beckman,,1,2,OCS,17,2
USA,0,Dave Shelton,Bruce Edwards,,OCS,4,2,20,3
USA,0,Matt Sanders,Brian Largay,,OCS,3,3,20,4
USA,0,Trevor Barnabus,Dan Thompson,,OCS,7,4,25,5
USA,0,Bruce Fleming,Steve Anderes,,OCS,5,6,25,6
USA,0,,John Broome,,OCS,9,7,30,7
USA,0,Jim Waters,Ashley Tobin,,OCS,8,9,31,8
USA,0,Craig Perez,Steve,,OCS,10,8,32,9
USA,0,Ben Benjamin,Nick Adamson,,OCS,DNF,5,33,10
USA,7873,Allan Norman,Ellen Ablow,,OCS,6,OCS,34,11
USA,0,Eric Willis,Wendy Herzberg,,OCS,11,10,35,12
USA,0,Kirk Wilson,Chuck Allen,,OCS,12,11,37,13
