Nation,Sail,Helm,Crew,Boat Name,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Total,Place
USA,8680,David Shelton,Bruce Edwards,BIG BLUE,6,1,2,1,7 *,1,1,1,13,1
USA,7771,Mike Martin,Howard Hamlin,TEAM MC LUBE,4,4,4,5,6 *,2,4,2,25,2
USA,6992,Uli Coblenz,Dan Thompson,NO NAME,2,8 *,8,4,5,3,2,4,28,3
USA,7068,Allan Johnson,Ali Meller,BLUE HULL,7,5,3,2,4,9 *,5,5,31,4
USA,8084,Rob Waterman,Thad Lieb,NO NAME,3,6,5,6,8 *,4,6,3,33,5
USA,8411,Bruce Tilley,Kevin Taugher,NO NAME,8,3,7,9 *,2,6,3,6,35,6
CAN,7039,Robin Brown,,NO NAME,5,2,6,8,3,7,8,9 *,39,7
USA,8266,Ben Benjamin,Andy Buckman,NO NAME,1,11 *,1,3,9,10,9,7,40,8
USA,7201,Bob Little,Flam,BLUE TRASH,10 *,9,10,7,1,8,10,8,53,9
USA,7873,Alan Norman,Larry Tuttle,NO NAME,9,10,9,10,10,5,7,12 * DNS,60,10
USA,6983,Eric Willis,,NO NAME,11 *,7,11,11,11,11,11,10,72,11
