Nation,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Points,Place
USA,7771,Howard Hamlin,Mike Martin ,ABYC ,1,1,1,1,1,-3,1,6,1
CAN,8681,Robin Brown,Rich Mondell,KITSI ,2,3,3,-13,2,2,2,14,2
USA,84*,Nick Adamson,Ben Benjamin ,BYC,6,6,2,2,4,-7,4,23,3
USA,8084,Steve Flam,Rob Watterman,ABYC,4,5,5,4,4,5,-6,27,4
USA,7873,Ellen Ablow,Alan Norman,RYC ,5,2,6,3,6,6,-7,28,5
USA,8680,Bruce Edwards,Don Smith,ST.FY,3,4,4,-13,7,8,3,29,6
USA,6992,Andy Beckman,JD Hess,NHYC,-9,9,8,7,5,1,9,39,7
USA,8266,Kevin Taugher,Tom Paulling,ABYC,7,7,9,-13,9,4,5,41,8
USA,8576,Bob Noyes,Bill Beardslee,,8,8,-11,5,8,10,8,47,9
USA,6983,Eric Willis,Wendy Herzberg,,-11,10,7,8,11,9,10,55,10
USA,6932,Ashley Tobin,Jim Walters,RYC,10,-11,10,6,10,11,11,58,11
USA,7096,Bryan Largay,Matt Sanders,HIGH,-13,13,13,13,13,13,13,78,12
