Nation,Boat no,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Total,Points,Place
USA,7685,Graham Alexander,Mark Koenig,,1,1,1,2*,2,1,2,1,1,3*,15,10,1
USA,7684,Ki Kaiser,John Badktke,,2,2,2,1,3*,2,1,2,3*,1,19,13,2
USA,8624,Dave Stetson,Mike Agrell,,4,3,7*,5,1,4,3,4,2,8*,41,26,3
USA,8265,Jim Tuten,Allan Brown/Anna Tuten/Brian Richmond,,3,6*,5,4,5,5,5,6*,6,4,49,37,4
USA,7356,Mike Goldstein,Mike Kohn,,5,4,3,3,9,7,6,7,11*,10*,65,44,5
CAN,7605,Tereska Gesing,Adam Gesing,,8,7,9*,7,4,3,12 DSQ*,8,7,2,67,46,6
USA,4379,Barret Rhoads,Andrew Gassman,,6,5,6,6,8,6,9*,5,5,11*,67,47,7
CAN,7857,Renka Gesing,Bob Alexander,,7,8,4,12 DSQ*,11*,5,7,3,9,9,75,52,8
USA,6660,Geoff Cashman,Perry Barclay,,9,10*,10*,10,6,10,4,9,4,5,77,57,9
USA,7347,Phil Terman,Sue Gille,,12 DNS*,12 DNS*,8,8,7,11,10,10,8,6,92,68,10
USA,7686,Sandy Schirmer,Brian Annis,,10,9,12 DNS*,11*,10,8,8,11,10,7,96,73,11
