Nation,Boat,Crew,Driver,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Place
USA,7771,Mike Martin,Howard Hamlin,,2,1,2,4,1,1,11,1
USA,0,Jim Maloney,Jeff Miller,,1,2,1,1,3,3,11,2
USA,0,Ben Benjamin,Andy Beckman,,3,4,4,5,7,5,28,3
CAN,0,Rich Mundell,Robin Brown,,9,6,5,3,5,4,32,4
USA,0,Andy Zinn,Dan Thompson,,6,5,3,8,4,8,34,5
USA,0,Rob Waterman,Thad Lieb,,5,7,8,7,10,6,43,6
USA,7873,Alan Norman,Larry Tuttle,,4,3,6,6,9,16,44,7
USA,0,Mike Smith,Johan Backsin,,7,9,7,10,6,7,46,8
GBR,0,Dave Shelton,Bruce Edwards,,16,16,16,2,2,2,54,9
USA,0,Matt Sanders,Bryan Largay,,8,8,9,16,12,10,63,10
USA,0,Bruce Fleming,Steve Anders,,10,10,11,11,13,11,66,11
USA,0,Bill Beardsly,Bob Noyes,,16,16,16,9,8,9,74,12
USA,0,Per Jacobson,Scott Slater,,11,16,10,12,11,16,76,13
USA,0,David Byron,Eric Willis,,12,12,13,13,14,16,80,14
USA,0,Kirk Wilson,Chuck Allan,,16,11,12,16,16,16,87,15
