SailNo,HelmName,CrewName,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,Total,Nett,Rank
USA 8830,Mark Zagol,Drew Buttner,NESS/Kokatat,-7,1,4,2,5,3,3,2,1,2,(28.0 DNC),58,23,1st
USA 8808,Augie Diaz,Tom Fink,CRYC,1,4,3,8,1,2,-11,-10,6,5,7,58,37,2nd
USA 9003,Parker Shinn,Jesse Falsone,WRSC,-10,10,5,5,-20,10,1,1,4,3,2,71,41,3rd
USA 9115,Mike Holt,Carl Smit,SCYC,3,7,8,-18,-13,4,8,7,2,11,1,82,51,4th
USA 8829,Krysia Pohl,Jon Henderson,St. Francis YC,4,8,13,4,7,-15,-19,6,3,1,5,85,51,5th
USA 8680,Doug Hagan,Stuart Park,TISC,-18,2,1,13,-15,11,4,8,7,4,4,87,54,6th
USA 8878,Ted Conrads,Jeff Nelson,St. Francis YC,2,5,11,7,-16,6,2,12,5,-17,6,89,56,7th
USA 9041,Henry Amthor,Dustin Romey,HYC,8,-18,10,6,3,8,6,5,-14,13,8,99,67,8th
USA 7346,Craig Thompson,Mike Curtin,,6,-16,-15,15,8,1,9,9,10,12,9,110,79,9th
USA 9095,Macy Nelson,Zach Marks,WRSC,9,-22,2,14,4,-21,14,11,9,6,10,122,79,10th
USA 9042,JB Turney,Justin Shaffer,St. Francis YC,15,14,17,9,2,(28.0 DNF),12,3,8,-19,3,130,83,11th
USA 8831,Pierre Jeangirard,Paul Von Grey,,-16,15,12,3,9,5,7,13,11,9,(28.0 DNC),128,84,12th
USA 9007,Matt Barry,James Barry,YCY,19,6,6,1,6,-24,13,15,-22,8,18,138,92,13th
USA 8083,Nathan Rosenberg,Reeve Dunne,StYC/SCYC,11,-26,-23,17,11,13,5,4,12,15,12,149,100,14th
GER 8889,Hasso Plattner,Peter Alarie,St. Francis YC,5,9,7,16,-22,18,18,14,(28.0 DNF),18,11,166,116,15th
CAN 8866,Cynthia Des Brisay,Charles Hansen,Kits YC,20,13,9,-23,14,7,15,-22,19,14,17,173,128,16th
CAN 8645,Marg Hurley,Jonathan Clark,NSC,12,12,20,10,12,14,21,-24,21,-22,13,181,135,17th
USA 8194,Tom Kivney,Gordon Russell,HYC,14,20,19,-22,10,16,16,16,13,-21,14,181,138,18th
USA 8084,Aaorn Ross,Rob Waterman,SCYC,-22,19,-22,20,21,12,10,19,15,10,15,185,141,19th
USA 7773,Duane Delfosse,Sol Marini,St. Thomas YC,-26,21,14,12,(28.0 DNF),20,20,17,20,7,16,201,147,20th
USA 88,Doug Watson,Gabe Watson,WRSC,17,3,26,26,23,9,17,20,17,(28.0 DNC),(28.0 DNC),214,158,21st
CAN 8600,Marie Gendron,David Brown,NSC,13,17,16,19,17,19,-25,23,-25,23,23,220,170,22nd
USA 8913,Katherine Long,Stephen Long,CCYC,21,11,18,-24,18,-26,24,21,16,24,19,222,172,23rd
CAN 7605,Renka Gesing,Adam Gesing,SPSC,24,23,21,11,19,17,23,-25,24,(28.0 DNF),21,236,183,24th
CAN 8696,Francois Bertrand,Dave Adams,NSC,-27,24,25,21,25,23,22,18,23,20,(28.0 DNC),256,201,25th
CAN 8610,Shona Weldon,Michael Wonnacott,NSC,23,25,-27,25,(28.0 DNF),25,27,27,18,16,20,261,206,26th
USA 8822,David Burchfield,Andy Forman,CSC,25,-27,24,-27,24,22,26,26,26,25,22,274,220,27th
