Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Place
GER,6618,Hanspeter Petersen,Arne Mußbach,,,,,,,,1
ZIM,6603,Jeremy Sean O’Connor,R. O'Connor,,,,,,,,2
FRA,5464,Serge Guillaume,Wladimir Dombrowski,,,,,,,,3
GER,6047,Kruck,Schmidt,,,,,,,,4
GER,6398,Holger Franke,Pabst,,,,,,,,5
GER,6683,Mathias Dietz,W. Strohurayer,,,,,,,,6
GBR,6673,Edward Wardern-Owen,Andy Gray,,,,,,,,7
MAR,6448,Georges le Troquer,E. Devaux,,,,,,,,8
GER,6085,Heck,Sriemen,,,,,,,,9
FRA,5039,Marcel Buffet,Yves Brézot,,,,,,,,10
GER,5988,Hobe,Hesche,,,,,,,,11
FRA,6347,Nicolas Loday,Yvon Kergreis,,,,,,,,12
GER,5987,Scherrer,Franck,,,,,,,,13
USA,6495,Thomas Kivney,S. Honey,,,,,,,,14
GER,5984,Andreas Beckmann,Tiedemann,,,,,,,,15
GER,6500,Brigitte Preuß,Rolf Bertenrath,,,,,,,,16
GBR,6688,R. Parker,Nigel Treloar,,,,,,,,17
GER,5468,Kowal,Uhlemann,,,,,,,,18
GER,6652,H. Luttringhaus,Zecher,,,,,,,,19
GER,6051,Stoll,Schweig,,,,,,,,20
USA,6571,C. Hyde,Carl Buchan,,,,,,,,21
GER,5794,Schulze,Papst,,,,,,,,22
GER,5414,Petersohn,Groß,,,,,,,,23
GER,5956,Busch,Micke,,,,,,,,24
GER,6050,Dirk Hay,Barth,,,,,,,,25R
FRA,6250,Yves Pottier,Y. Breurec,,,,,,,,26
GER,5596,Evers,Schelling,,,,,,,,27
FRA,5967,Georges Landry,Jean Landry,,,,,,,,28
GER,6195,Hauke Rathjens,Arntzen,,,,,,,,29
GER,5647,Zettel,Hackmack,,,,,,,,30
GER,6010,Hamme,Rauch,,,,,,,,31
GER,6506,Peter Forster,Brandis,,,,,,,,32
USA,6646,J. Mckee,B. Mckee,,,,,,,,33
GER,6052,Philipp Saring,Menke,,,,,,,,34
,,,,,,,,,,,35
,,,,,,,,,,,36
,,,,,,,,,,,37
,,,,,,,,,,,38
,,,,,,,,,,,39
,,,,,,,,,,,40
,,,,,,,,,,,41
,,,,,,,,,,,42
,,,,,,,,,,,43
,,,,,,,,,,,44
,,,,,,,,,,,45
,,,,,,,,,,,46
,,,,,,,,,,,47
,,,,,,,,,,,48
,,,,,,,,,,,49
,,,,,,,,,,,50
