Pos,Sail NO,Skipper,Crew,Yacht Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,,Boat,,Total,Pos
USA,8084,Aaron Ross,Ian Gregg,Santa Cruz Yacht Club,2,1,1,[7/RET],3,3,3,1,1,,Four First Names,,15,1
USA,883*,Mats Elf,Brent Campbell,CYC Seattle,1,3,3,[7/DNC],1,2,1,3,2,,Good Times,,16,2
USA,8*,Kerry Poe,Paul VonGrey,WSC,4,2,2,[7/DNC],2,1,2,2,3,,Big Red Dog,,18,3
USA,8616,Lee Laney,Mike Powell,Lee Laney,3,[7/DNF],5,7/RET,4,4,4,7/DNC,5,,Lee Laney,,39,4
USA,7609,Ryan Nelson,Will Lowe,Encinal Yacht Club,[7/DNF],7/DNF,6,1,6,6,6,4,4,,Team Rogue Rigging,,40,5
USA,8578,Erik Coburn,Gabe Hill,Fairhaven Yacht Club,5,[7/DNF],4,7/RET,5,5,5,7/DNC,7/DNC,,Cloudsplitter,,45,6
