Nation,Boat No,Helm,Crew,Boat Name,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Points,Place
USA,8715,Ethan Bixby,,Pressure Drop,2,2,1,1,[4],1,1,8,1
USA,8830,Drew Buttner,,NESS,1,1,2,2,2,2,[3],10,2
USA,8930,Duane Delfosse,,Blondage,3,4,3,3,1,4,[5],18,3
USA,9005,Thomas Kivney,,Katiebear,4,3,4,4,3,[5],2,20,4
USA,8641,Nicholas Burke,,8641,6/DNC*,6/DNC,6/DNC,6/DNC,6/DNF,3,4,31,5
