Nation,Boat No,Helm,Crew,Boat Name,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
USA,9005,Thomas Kivney,,Katiebear,4,3,1,8/DNF*,1,1,10,1
USA,8939,Michael Komar,,USA 8939,[3],1,2,3,2,2,10,2
USA,8930,Duane Delfosse,,Blondage,1,2,3,2,[4],4,12,3
GBR,8708,Ben Greenfield,,GBR 8708,2,4,4,1,[5],3,14,4
USA,9183,Michael Breton,,No Retreat,5,5,5,4,3,8/DNF*,22,5
IRL,8987,Peter Scannell,,Lookadatla,8/DNC*,8/DNC,8/DNC,8/DNC,8/DNC,8/DNC,40,6
USA,8851,Ted Huebner,,USA 8851,8/DNC*,8/DNC,8/DNC,8/DNC,8/DNC,8/DNC,40,6
