NATION,Sail   NO,Skipper,Crew,Yacht Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,,Total,Pos
USA,9106,Mike Martin,,"StFYC,NHYC  ",1,1,1,1,[2],1,2,1,1,1,,10,1
USA,9072,Mike Holt,,Sanata Cruz YC,2,3,4,[15],1,3,1,3,4,3,,24,2
USA,9091,Edward Conrads,,St. Francis,8,2,2,2,[11],5,8,2,6,7,,42,3
USA,9004,Eric Anderson,,YCYC/SDYC,5,5,6,4,4,[8],5,5,5,4,,43,4
USA,9153,Howie Hamlin,,NHYC / ABYC,6,7,5,5,[9],2,4,8,2,6,,45,5
USA,8681,Ryan Cox,,Ventura Yacht Club,7,6,[14],6,3,7,7,4,8,2,,50,6
USA,8995,Kevin Taugher,,ABYC,3,4,3,3,7,9,10,6,[22/RET],8,,53,7
USA,9082,Jeff Miller,,SCYC,9,10,11,9,6,4,3,11,3,[12],,66,8
USA,9042,JB Turney,,StFYC,[10],9,7,8,8,6,9,10,10,9,,76,9
USA,8831*,Kerry Poe,,Willamette Sailing Club,11,11,10,7,5,15,11,9,12,[19],,91,10
USA,9115,Paul Allen,,SCYC,4,12,9,11,13,17,[18],12,11,13,,102T,11
USA,8823,Mats Elf,,CYC Seattle,13,8,8,10,12,13,[17],16,7,15,,102T,12
USA,8782,AJ Conrads,,StFYC,[22/DNC],13,22/DNS,22/DNS,10,10,6,7,9,5,,104,13
USA,8762,Tom Crawford,,CYC,12,16,[22/RET],12,15,12,12,14,13,14,,120,14
USA,8616,Lee Laney,,Bellingham Yacht Club,15,15,12,17,14,11,16,15,[18],11,,126,15
USA,8937,Tim Murphy,,TISC,17,[19],16,13,16,16,14,17,15,10,,134,16
USA,9083,Aaron Ross,,Santa Cruz Yacht Club,14,14,13,[22/DNS],18,14,13,18,16,17,,137T,17
USA,6991,Sugar Flanagan,,PTSA,16,17,15,14,17,[18],15,13,14,16,,137T,18
USA,7877,Steve Anderes,,SSS,18,18,17,16,21,19,20,20,[22/DNS],22/DNC,,171,19
USA,7609,Ryan Nelson,,Encinal Yacht Club,[22/DNC],22/DNC,22/DNC,22/DNC,20,20,19,21,19,18,,183,20
USA,7774,Paul Tara,,Santa Cruz Yacht Clut,[22/DNF],22/DNS,22/DNS,22/DNS,19,22/DNS,22/DNS,19,17,22/DNC,,187,21
