,Nation,Skipper Crew, ,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Total,Sail
USA,8631,Tom Crawford,Pierre Jeangirard,CYC-Seattle,2,5*,3,2,1,8,1
USA,8831,Kerry Poe,Paul VonGrey,PVGYC,6*,1,4,1,3,9,2
USA,8192,Phil Cragg,Rich Mundell,Royal Van YC,1,7,1,9*,2,11,3
USA,8829,Courtney Starks,Cody Kawalski,BYC,7*,3,2,3,4,12,4
USA,8616,Lee Laney,Mike Powell,BYC,3,2,7*,5,7,17,5
USA,8823,Mats Elf,Gavin Bracket,CYC Seattle,4,4,5,6*,5,18,6
USA,8439,Anne Fitzpatrick,Christian Pittack,CYC Seattle,8*,6,6,4,8,24,7
USA,8578,Erik Coburn,Gabe Hill,Red Dog Yacht Club,5,8,9*,7,6,26,8
USA,8017,Mike Poulos,Jon Seestrom,BYC,14*,14,8,8,9,39,9
USA,8617,Paul Pihl,Kevin McGuire,BYC,10,10,11*,11,11,42,10
AUS,7206,Earle Alexander,Langdon Junge,Darling Point Sailing Squadron,12*,11,10,12,10,43,11
CAN,8755,Brian Trainor,Chris Madin,Kitsilano YC,9,9,13,15*OCS,13,44,12
USA,7610,Christopher Hubbard,Craig McMinn,CYC Seattle,13,13,14*,10,12,48,13
USA,8084,William Joyce,Colin Fastboat,CBC,11,12,12,13,14*,48,14
USA,8818,Jim Holstine,Jeff Krusniak,BYC,16*DNC,16 DNC,16 DNC,16 DNC,16 DNC,64,15
