Nation,Boat NO,helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Points,Place
USA,9106,Mike Martin,Adam Lowry,StFYC,1,2,2,2,[5],2,1,2,2,14,1
USA,9115,Mike Holt,Rob Woelfel,Santa Cruz,[6],1,3,4,6,3,4,1,3,25,2
USA,8681,Ryan Cox,Stu Park,Ventura,3,6,1,[7],3,6,7,4,1,31,3
USA,8084,Kevin Taugher,Jon Bell,ABYC,4,7,7,[9],7,1,2,5,6,39,4
USA,9082,Jeff Miller,Pat Diola,Santa Cruz YC,8,3,6,1,[14],8,3,9,4,42,5
USA,9004,Eben Russell,Paul VonGrey/Riley Gibbs,MPYC,2,4,4,3,1,10,8,13,[16/DNC],45,6
USA,9073,Bruce Edwards,Eric Anderson,SCYC,5,[9],5,8,9,5,6,3,5,46,7
USA,8714,Reeve Dunne,Molly Dunne,StFYC,[9],5,9,6,4,4,5,7,7,47,8
USA,7875,Harrison Turner,Holt Condon,St Francis,7,8,8,5,2,7,[9],6,9,52,9
USA,9083,Aaron Ross,Rob Waterman,Santa Cruz Yacht Club,10,[12],10,11,11,11,10,10,8,81,10
USA,8937,Tim Murphy,Jake Spracher,Treasure Island,12,13,12,13,8,9,[14],11,10,88,11
USA,8672,Pierre Jeangirard,Tom Crawford,Simi valley,11,10,11,12,10,[16/DNC],11,8,16/DNC,89,12
USA,9004,Austin Book,Jacob Paoletti,MPYC,[13],11,13,10,13,12,13,12,11,95,13
USA,90731*,Kate Chandler,Mark Chandler,MPYC,15,14,15,14,15,13,12,[16/DNC],16/DNC,114,14
USA,7877,Steve Anderes,Matt Elliot,sbsc,14,15,14,15,12,[16/DNC],16/DNC,16/DNC,16/DNC,118,15
