Nation,Sailno,Name,Scores,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Points,No
DEN,8923,Jørgen Bojsen Møller,Jacob Bojsen Møller,,5,1,5,2,1,1,-9,15,1
GER,8903,Boris Herrmann,Julian Kleiner,,1,2,2,5,3,4,-8,17,2
DEN,8849,Per Larsen,Henrik Andersen,,4,7,4,1,5,-8,1,22,3
DEN,8620,Jan Saugmann,Morten Ramsbæk,,7,-8,3,4,4,2,2,22,4
GER,8875,Jens Findel,Johannes Tellen,,3,5,1,3,-20,9,3,24,5
GER,8880,Helen Fischer,Robert Rothe,,2,6,(dnf),7,8,3,7,33,6
GER,8728,Meike Schomäker,Rainer Görge,,8,3,9,6,2,6,-13,34,7
GER,8915,Hasso Plattner,Peter Alarie,,6,4,-15,8,6,7,14,45,8
DEN,8736,Anders Friis,Jesper Ernst,,-12,9,6,10,12,5,5,47,9
DEN,8826,Tom Bøjland,Jakob Karbo,,9,-18,10,9,11,13,6,58,10
DEN,8828,Jon Andreasen,Lasse B. Andersen,,14,13,7,-17,9,11,10,64,11
DEN,8440,Mikkel Christiansen,Mads Christiansen,,17,11,13,11,-19,16,4,72,12
GER,8843,Jens Hufnagel,Lars Dehne,,-18,10,8,18,10,15,16,77,13
POL,7539,Kuba Pawluk,Piotr Zoltowski,,11,15,-16,12,13,12,15,78,14
GER,8531,Michael Troch,Eckart Künig,,10,12,-20,13,15,19,12,81,15
FIN,7935,Jari Hamstroem,Tuomas Laurila,,13,16,12,15,14,-18,11,81,16
DEN,8495,Jesper Legin Larsen,Allan Andreasen,,16,-19,11,14,7,17,17,82,17
GER,8874,Jürgen Waldheim,Thilo König,,15,(dns),17,16,16,10,20,94,18
DEN,8601,Jonas Christiansen,Mikkel Bardram,,-20,14,14,19,18,14,18,97,19
DEN,8656,Henrik Buhl,Johnny Rodholm,,19,17,19,20,17,-21,19,111,20
DEN,8551,Kim Sørensen,Flemming Sand,,21,20,18,21,21,(dnf),dns,126,21
SWE,8837,Tord Lawner,Dauglas Wangdal,,-22,21,21,22,22,20,21,127,22
GER,8747,Jörg Thumann,Oliver Stieglitz,,(dns),dns,dns,dns,dns,dns,dns,150,DNA
DEN,8924,Kim Christensen,Søren Overbeck,,(dns),dns,dns,dns,dns,dns,dns,150,DNA
