Country SailNo,HelmName,CrewName,Total,R1,R2,R3,R4,R5,R6,R7,Nett,Rank
GER 9027,Wolfgang Hunger,Julien Kleiner,32,1,1,3,15.0*,4,2,6,17,1
USA 9002,Mike Holt,Carl Smit,27,3,6,1,3,6,1,7.0*,20,2
AUS 8946,Sandy Higgins,Paul Marsh,34,2,7,5,1,3,7,9.0*,25,3
USA 8762,Howard Hamlin,Andy Zinn,36,4,10.0*,6,4,8,3,1,26,4
GBR 9056,Luke Molloy,Jim Turner,126,14,11,2,5,5,86.0 DNF*,3,40,5
USA 8878,Ted Conrads,Brian Haines,56,7,2,10,2,9,11,15.0*,41,6
DEN 8964,Jan Saugmann,Morten Ramsbæk,135,86.0 DNF*,9,17,16,1,4,2,49,7
GBR 9032,Ian Pinnell,Charles Dwyer,135,8,13,8,10,86.0 DNF*,5,5,49,8
AUS 8626,Nathan Outteridge,Iain Jensen,82,9,3,7,8,11,22.0*,22,60,9
USA 8714,Mike Martin,Geoff Ewenson,84,23.0*,4,22,9,10,8,8,61,10
GER 8875,Jens Findel,Johannes Tellen,96,5,5,16,25,29.0*,6,10,67,11
AUS 8922,Bill Cuneo,John Warlow,117,12,17,23,6,23,32.0*,4,85,12
AUS 8794,Mick Babbage,James McAllister,175,86.0 DNF*,14,14,18,17,10,16,89,13
AUS 9018,Robin Deussen,Jordan Spencer,182,11,18,18,86.0 DNF*,14,9,26,96,14
GER 8992,Claas Lehmann,Leon Oehme,141,18,22,24,7,28.0*,23,19,113,15
AUS 8957,Kevin Cameron,Josh Mortensen,155,33,16,37.0*,22,2,13,32.0 SCP,118,16
GER 9040,Meike Schomaker,Holger Jess,164,20,45.0*,13,17,38,17,14,119,17
USA 8681,Ryan Cox,Stu Park,153,30.0*,21,11,28,20,14,29,123,18
AUS 8890,Malcolm Higgins,Andrew Chisholm,154,26,19,12,31.0*,25,24,17,123,19
AUS 8853,Carter Jackson,Peter Holden,175,10,30,9,46,51.0*,16,13,124,20
AUS 8840,Shane Guanaria,Leigh Riddell,213,25,8,19,14,18,86.0 DNF*,43,127,21
GER 9028,Stefan Koechlin,Thomas Jung,230,19,26,28,21,19,86.0 DNF*,31,144,22
USA 7875,Jeff Miller,Mike Smith,231,31,34,31,19,15,15,86.0 DNF*,145,23
AUS 8817,Nick Davis,Michael Duffield,190,21,23,40.0*,27,31,20,28,150,24
AUS 8877,Daniel Keys,Darryl Roos,189,38.0*,29,20,34,26,12,30,151,25
AUS 9037,Nigel Lott,Bob Franks,204,28,20,49.0*,26,43,18,20,155,26
CAN 8192,Philip Cragg,Reto Corfu,243,16,28,27,37,24,86.0 DNF*,25,157,27
HKG 9055,Mark Thornburrow,Laurence Mead,216,56.0*,53,42,20,7,26,12,160,28
GBR 9006,Terry Scutcher,Christian Diebitsch,248,24,25,4,12,86.0 DNF*,86.0 DNF,11,162,29
GER 9054,Helen Fischer,Lars Derschotte Dehne,221,32,48.0*,32,38,13,25,33,173,30
AUS 8797,Peter Nicolas,Luke Payne,264,42,86.0 DNF*,25,30,39,21,21,178,31
AUS 8894,Paul Mitchell,Sam Haines,234,43,31,33,50.0*,16,19,42,184,32
AUS 8973,Brett Sharpe,Anthony Gaunt,270,22,86.0 DNF*,41,24,22,35,40,184,33
USA 9009,Bruce Edwards,Mathias Kennerknecht,278,41,15,21,11,86.0 DNF*,86.0 DNF,18,192,34
AUS 8783,Michael Thomson,Marcus Cooper,234,39,32,35,36,41.0*,28,23,193,35
AUS 8801,Peter Chappell,Matt Smith,248,17,39,47.0*,44,40,27,34,201,36
USA 8831,Paul Von Grey,Doug Hagan,304,29,40,30,58,37,86.0 DNF*,24,218,37
AUS 8796,Nicholas Deussen,Jonno Bannister,306,34,36,36,43,34,86.0 DNF*,37,220,38
AUS 8781,Earle Alexander,Ian Gregg,315,37,38,43,32,86.0 DNF*,38,41,229,39
