Numer na żaglu,Imiona,Nazwiska,Klub,Miejsca Suma,w wyścigach punktów,,,,,,,M-ce
POL 7957,Jakub Pawluk,Michał Redmerski,AZS PW,1,1,1,1,2,2,*DNF,8,1
POL 8451,Bartosz Makała,Łukasz Szkrzycki,JK Krynica Morska,2,*DNF,4,2,1,1,1,11,2
POL 7037,Łukasz Paszko,Jarosław Paszko,UKS Kałębie Osieck,*5,3,3,3,3,4,3,19,3
POL 8129,Konrad Plewa,Jerzy Plewa,ZKŻ Zbąszyń,4,4,*5,5,4,3,2,22,4
POL 8416,Przemek Zagórski,Piotr Juckiewicz,YKP Gdynia,3,2,2,4,5,*DNF,DNF,26,5
POL 7942,Igor Graczyk,Maciej Graczyk,ZKŻ Zbąszyń,6,5,6,*DNF,DNF,DNF,DNF,47,6
POL 8005,Zbigniew Monkiewicz,Mariusz Michalski,PSK505,*DNF,6,DNF,DNF,DNF,DNF,DNF,56,7
POL 8358,Tomasz Bernat,Krzysztof Szulc,AZS UW,7,*DNF,DNF,DNF,DNF,DNF,DNF,57,8
POL 7012,Dariusz Rzadkowski,Krzysztof Rzadkowski,PSK505,*DNF,DNF,DNF,DNF,DNF,DNF,DNF,60,9
