Nation,Sail No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Final Position
GBR,8676,Clive Robinson,Garry Cawthorn,Burton,1,1,2,5,1,3,1
GBR,8685,Jim Hunt,Nick Beloe,Bartley,7,2,3,1,3,6,2
GBR,8419,Stuart Turnball,Jason Lunn,Burton,6,5,1,2,4,7,3
GBR,8526,Tim Bird,Arthur George,Burton,2,3,6,3,2,7,4
GBR,8458,Jack Hayhurst,Adrian Coates,Burton,3,4,10,4,5,11,5
GBR,8305,John Webster,Eric Ironmonger,Burton,8,6,4,6,7,16,6
GBR,8418,E Cuthbert,M Cuthbert,Leigh & Lowton,5,7,5,7,10,17,7
GBR,8429,Rob Napier,Kimbell Morrison,HOLYC,dns,dns,9,10,8,17,8
GBR,8291,Richard Sims,Simon Wood,Burton,12,14,12,12,9,21,9
GBR,8213,Rob Burdekin,Dennis Cartwright,Burton,9,8,7,13,6,24,10
GBR,8306,Chris Robinson,Tom Philips,Burton,16,11,8,8,14,27,11
GBR,8358,Tom Wain,Jon Peats,FFSC,rtd,16,16,14,rtd,30,12
GBR,8464,Lee Martin,Don Sloan,Stone,4,9,11,9,rtd,33,13
GBR,8313,Steve Northeast,Martin Hood,Burton,14,13,13,15,13,39,14
GBR,8214,Dave Bell,Pete Ward,Burton,13,15,17,17,12,40,15
GBR,8359,Bill Oliver,Steve Cross,Burton,11,10,14,11,15,46,16
GBR,8072,Micheal Sims,Andrew George,Burton,10,12,15,16,11,48,17
GBR,8474,Chris Thorne,Andy Tyis,Portishead,15,17,18,18,rtd,50,18
