Nation,Sail,Skipper,,Yacht Club,1,2,3,4,5,6,Boat,Total,Pos
USA,9184,Eric Schwab,,Hyc,1,1,1,1,[3],2,,6,1
USA,8643,Barney Harris,,WRSC/PRSA,2,2,3,3,2,[4],Team Spot,12,2
USA,90951*,Kelsey Averill,,Wrsc,4/DNF,[5],2,2,1,5,,14,3
USA,8857,Brendan Connell,,WRSC,3,3,[4],4,4,1,Defiance,15,4
USA,9095,Macy Nelson,,West River,4/DNF,4,5,[6],6,3,Highway 95 Revisited,22,5
USA,9200,M. Ashley Love,,SSA,[9/DNS],9/DNS,9/DNS,5,5,6,Waltzing Matilda,34,6
USA,8883,Michael Renda,,WRSC,4/DNF,6,[9/RET],9/DNS,9/DNS,9/DNS,Jane's Addiction,37,7
USA,8939,Whitney Hayes,,HYC,[9/DNS],9/DNS,9/DNS,9/DNS,9/DNS,9/DNS,Below Average Pass,45,8
