Nation,SailNo,HelmName,CrewName,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,Total,Nett,Rank
USA,9160,Howie Hamlin,Andy Zinn,Alamitos Bay YC - NHYC,1,1,1,3,1,1,1,1,1,1,1,3,(DNS),28,16,1
USA,9080,Kevin Taugher,Garrett Brown,Alamitos Bay YC,3,3,2,1,3,2,2,(5.0),3,3,4,5,5,41,36,2
USA,9106,Mike Martin,Adam Lowry,St Francis YC,2,2,4,2,2,4,6,4,5,2,3,(7.0),3,46,39,3
USA,9088,Mike Holt,Don Smith,Alamitos Bay YC,4,4,5,4,5,5,4,2,(8.0),5,2,2,2,52,44,4
USA,8714,Morgan Pickney,Reeve Dunne,Alamitos Bay YC - NHYC,(7.0),5,7,7,4,3,7,3,4,4,7,1,1,60,53,5
USA,9004,Parker Shinn,Eric Anderson,YCYC/SDYC,5,6,3,5,6,6,3,(7.0),7,7,5,4,4,68,61,6
USA,9027,Pierre Jeangirard,Chris Pittack,PCYC,8,8,6,(9.0),8,7,8,8,2,9,8,9,6,96,87,7
USA,90801*,Brian Bissell,Phil Toth,Newport Harbor YC,6,7,8,6,7,8,5,9,(10.0),8,6,10,8,98,88,8
USA,8937,Tim Murphy,Jack Murphy,Treasure Island YC,(DNC),DNC,10,8,10,9,9,6,6,6,9,6,9,112,100,9
USA,9083,Aaron Ross,Rob Waterman,Alamitos Bay YC,9,9,9,(10.0),9,10,10,10,9,10,10,8,10,123,113,10
USA,9153,Dylan Ascencios,James Westerberg, ,(DNC),DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,11,11,11,7,148,136,11
