SAIL,NUMBER,Helm,Crew,CLUB/ORG,R1,R2,R3,R4,R5,R6,R7,R8,R9,BOAT NAME,NET,TOTAL,
USA,8786,Luke Ingalls,John Ingalls,Sakonnet Yacht Club,3,3,1,[4],3,2,1,3,1,Barbara,17,21,1
USA,9184,Clark Hayes,Eric Schwab,Hampton Yacht Club,1,4,4,2,1,[5],3,2,3,None,20,25,2
USA,9165,David Kirkpatrick,Parker Colantuono,Sail Newport Inc,[DNC - 15],5,6,5,4,3,4,1,2,Toxic Masculinity,30,45,3
USA,9041,Henry Amthor,Christopher Pfrang,HYC,5,[9],5,1,2,6,2,6,6,Benchmark,33,42,4
USA,8643,Barney Harris,Jackson Montague,WRSC & PRSA,[DNC - 15],2,2,7,7,9,10,4,4,None,45,60,5
USA,9186,Tyler Moore,Vir Menon,Hampton Yacht Club,2,1,[DNC - 15],DNC - 15,5,1,6,DNC - 15,DNC - 15,Team Rooster,60,75,6
USA,8838,Alexander Hanna,Alex Jacob,HYC/ NYCC,6,6,[9],8,8,8,8,9,7,Basket of Deplorables,60,69,7
USA,904*,Benton Amthor,Marcus Adam,Hampton Yacht Club,[DNC - 15],8,7,9,11,7,9,7,5,Crystal Blue,63,78,8
USA,8819,Nathan Smith,Javi Gonzalez,Hampton Yacht Club,[DNC - 15],DNC - 15,DNC - 15,3,6,4,5,8,8,DotCom,64,79,9
USA,8857,Brendan Connell,Chase Hillyer,West River Sailing Club,4,[DNF - 15],8,10,9,11,11,5,DNF - 15,None,73,88,10
USA,8930,Duane Delfosse,Tom Hurwitch,505 American Section,[DNC - 15],7,3,6,10,12,7,DNC - 15,DNC - 15,When and if,75,90,11
USA,9173,Sterling Spruill,Travis Tucker,HYC,[DNC - 15],DNC - 15,DNC - 15,11,12,10,12,10,9,Team Trouble,94,109,12
USA,8939,Whitney Hayes,Anna Patterson,Hampton Yacht Club,[DNC - 15],DNC - 15,DNC - 15,12,13,DNF - 15,DNS - 15,11,DNC - 15,None,111,126,13
USA,6987,Michael Gravitt,Sean Henry,HYC,[DNC - 15],DNC - 15,DNC - 15,13,14,13,13,DNC - 15,DNC - 15,None,113,128,14
