Nation,boat no,Helm,Crew,club,Race1,Race2,Race3,Race4,Race5,Race6,Race7,Race8,Name,Points,Position
USA,8715,Ethan Bixby,Chris Brady,SPSC,1,1,3,1,3,1,4,[17/RET],Pressure Drop,14,1
USA,9095,Macy Nelson,Russell Miller,West River,[7],2,2,5,5,4,2,1,Highway 95 Revisited,21,2
USA,8643,Barney Harris,,wrsc and prsa,4,5,[6],3,2,3,3,3,Team Spot,23,3
USA,8938,Clark Hayes,Eric Schwab,HYC,2,4,4,4,1,2,[7],7,,24,4
USA,8786,Luke Ingalls,John Ingalls,Sakonnet Yacht Club,3,3,1,[10],9,6,5,2,Barbara,29,5
IRL,8987,Peter Scannell,Barry Canton,UCD Sailing Team,6,[17/DNS],5,2,6,7,9,5,Lookadatla,40,6
USA,8951,David Kirkpatrick,,Sail Newport/USCGA Sailing,[17/DNS],6,7,6,4,5,1,17/RET,Toxic Masculinity,46,7
USA,8830,Nathaniel Plant,,Saint Petersburg Sailing Center,9,8,12,12,[15],8,8,8,,65,8
USA,8012,Lennart Nilsson,,Jamestown Yacht Club,10,9,10,11,[14],9,13,4,,66T,9
USA,8819,Kaila Pfrang,,Hampton Yacht Club,11,10,9,9,8,10,[14],9,Schneller,66T,10
USA,7200,Ashley Love,Alexander “Ali” Meller,SSA,[17/DNS],7,8,7,10,14,6,17/RET,Swagman,69,11
USA,8814,Lin Robson,,SPSC,[17/DNS],17/DNS,17/DNS,8,7,11,10,6,Sojourner,76,12
CAN,9138,Marek Balinski,,OHCC,8,12,11,[15],12,13,11,10,Plastic Surgery Disaster,77,13
USA,7879,Andrew Schoene,,SPYC,5,11,[17/DNS],14,11,12,12,17/RET,,82,14
CAN,8288,Robert Bartlewski,,Outer Harbour Centreboard Club/YKP TORONTO,[17/DNS],17/DNS,17/DNS,13,13,16,15,17/RET,PARAMOUR,108,15
CAN,8264,Peter Hale,,Canada,[17/DNS],17/DNS,17/DNS,16,16,15,17/RET,17/RET,,115,16
