RSA,SailNo,Helmname,Crewname,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,Total,Nett,Rank
RSA,9094,Peter Funke,Thomas Funke,PYC,1,2,-7,2,-5,1,1,1,1,3,24,12,1st
RSA,8719,Alexander Ham,Jonathan Ham,PSC,-3,1,1,-5,1,2,2,3,3,2,23,15,2nd
RSA,8445,Kyle Klaas,Robert Von Gruenewaldt,PSC,(13 DNC),-5,3,1,2,4,4,5,4,1,42,24,3rd
RSA,9063,Justin Clarke,Richard Hutton-Squire,RCYC,2,-6,2,4,-6,3,3,2,5,4,37,25,4th
RSA,8406,Bronwen Klaas,Kobus Holtzhausen,PSC,-9,9,6,6,4,(13 DNS),5,4,2,5,63,41,5th
RSA,8789,Campbell Tiley,Warwick Ham,PSC,7,7,4,3,3,(13 DNF),(13 DNF),7,7,6,70,44,6th
RSA,8520,Mark Biagio,Greg Barnard,PSC,5,4,-9,8,(13 DNC),6,6,6,6,7,70,48,7th
RSA,8486,Ryan Robinson,Julian Wertheim Aymes,,4,3,5,9,7,7,(13 DNC),(13 DNC),13 DNC,13 DNC,87,61,8th
RSA,8584,Hans Rogotski,Tiano Cook,PYC,6,8,8,7,8,(13 DNC),(13 DNC),13 DNC,13 DNC,8,97,71,9th
RSA,6756,Daniel Eigelaar,Andre Eigelaar,SBYC,(13 DNF),11,12,12,10,5,7,9,(13 DNC),9,101,75,10th
RSA,8587,Andrew Arthur,Marius Fourie,ESC,(13 DNC),10,11,10,9,(13 DNF),13 DNF,8,8,11,106,80,11th
RSA,7722,Dudley Thomson,Allan Lewthwaite,BSC,8,12,10,11,11,(13 DNF),(13 DNF),13 DNF,9,10,110,84,12th
