,Boot,Steuermann,Vorschoter,Club,Platzierungen,,Platz,,,,,
USA,8714,Mike Martin,Jeff Nelson,,2,1,1,1,2,DNC,,1
USA,9002,Mike Holt,Carl Smit,,6,2,2,2,1,DNC,,2
USA,8762,Howie Hamlin,Ian Mitchell,,7,8,9,4,7,1,,3
GBR,9012,Ian Pinnell,Carl Gibbon,GWSC,8,7,7,10,3,4,,4
USA,8913,Tyler Moore,Geoff Ewenson,,1,DNC,6,11,18,2,,5
GER,8965,Andy Beckmann,Peter Alarie,,10,5,4,12,DNC,9,,6
USA,8681,Ryan Cox,Stuart Park,,15,12,10,7,9,3,,7
GBR,9006,Terry Scutcher,Christian Diebitsch,Shotley,12,4,16,6,6,14,,8
AUS,8946,Sandy Higgins,Paul Marsh,,9,13,15,5,34,11,,9
USA,8715,Ethan Bixby,Simon Gorman,,18,11,11,22,8,DNC,,10
DEN,8964,Jan Saugmann,Lasse Andreasen,HiS,23,15,22,17,13,6,,11
AUS,8920,Michael Quirk,Simon Reffold,MHYC,17,DNC,20,8,17,16,,12
AUS,8801,Peter Chappell,Ian Davidson,,20,3,27,9,21,DNC,,13
USA,8830,Ramsay Key,Andrew Buttner,,16,16,35,DNC,12,13,,14
USA,8081,Nick Adamson,Steve Bourdow,,3,DNC,5,3,4,DNC,,15
USA,7875,Jeff Miller,Mike Smith,,22,22,18,DNC,27,7,,16
GBR,8963,Martin Hodgson,Adrian Miles,,25,17,29,DNC,19,15,,17
GER,8875,Jens Findel,Johannes Tellen,KYC,5,6,3,DNC,14,DNC,,18
USA,8953,Augie Diaz,Tommy Fink,,37,21,28,16,32,20,,19
USA,8722,Macy Nelson,Parry Barclay,WRSC,32,20,24,23,36,19,,20
USA,8854,Bruce Mahoney,Paul Allen,,DNC,10,13,15,DNC,10,,21
GBR,8974,James Hunt,Neil Fulcher,,13,DNC,8,DNC,23,5,,22
CAN,8192,Philip Cragg,Reto Corfu,,41,23,34,26,28,23,,23
USA,8558,Angus Brackett,Colin Orsini,,46,26,38,24,30,25,,24
AUS,8796,Nick Deussen,Jonno Bannister,,14,DNC,19,19,20,DNC,,25
GER,8651,Christian Kellner,Martin Schöler,HSC,11,DNC,17,DNC,24,21,,26
USA,8987,David Chatham,Jon Bell,,19,14,DNC,DNC,22,18,,27
GER,8843,Nicolai Völckner,Lars Dehne,HSC,31,18,23,13,DNC,DNC,,28
USA,8821,Katherine Long,Stephen Long,,45,24,40,27,DNC,30,,29
GER,8747,Martin Kittsteiner,Oliver Stieglitz,HSC,43,25,43,DNC,39,28,,30
USA/,8808,Evert Meyer,Peter Funke,,50,DNC,45,21,45,27,,31
AUS,8840,Kevin Cameron,Matt Bowden,,44,DNC,32,18,DNC,24,,32
USA,9009,Bruce Edwards,David Shelton,,26,DNC,32,18,DNC,24,,33
AUS,8853,Carter Jackson,Peter Holden,MHYC,28,DNC,12,DNC,5,DNC,,34
USA,8967,Philippe Kahn,Peter Spaulding,,49,DNC,50,28,46,35,,35
USA,8824,Jennifer Morgan Glass,Ben Glass,,DNC,DNC,14,DNC,25,12,,36
AUS,8395,Paul Mitchell,Dale Mitchell,WSC,30,19,25,DNC,DNC,DNC,,37
AUS,8794,Michael Babbage,James McAllister,,38,DNC,21,DNC,16,DNC,,38
AUS,9022,Ian Burford,David Christie,,47,DNC,41,DNC,41,29,,39
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,29,DNC,30,25,DNC,DNC,,40
USA,8888,Mark Christensen,Arthur Kinsolving,,36,DNC,30,25,DNC,DNC,,41
AUS,8890,Malcolm Higgins,Andrew Chisholm,,4,9,DNC,DNC,DNC,DNC,,42
USA,8266,John Gray,David Rasmussen,,57,DNC,39,DNC,44,33,,43
AUS,8781,Earle Alexander,Ian Gregg,RQYS,21,DNC,37,DNC,38,DNC,,44
USA,8970,Robert Tennant,Rich Mundell,,35,DNC,37,DNC,38,DNC,,45
USA,8441,Olav Schluter,Mike Renda,DWSC,54,DNC,44,DNC,43,34,,46
USA,8878,Matt Noble,Bill Erklends,,33,DNC,44,DNC,43,34,,47
USA,8842,Tom Kassberg,Guy Rittger,,58,DNC,49,DNC,49,31,,48
GER,8992,Claas Lehmann,Leon Oehme,NRV,24,DNC,DNC,DNC,11,DNC,,49
AUS,8557,Neil Long,Mick Odonnel,,DNC,DNC,26,14,DNC,DNC,,50
AUS,8886,Norman Rydge,Jordan Spencer,,27,DNC,DNC,DNC,DNC,17,,51
BER,9005,Douglas De Couto,Gareth Williams,,48,DNC,36,DNC,42,DNC,,52
AUS,8893,Jeffrey Robinson,Bryce Penfold,,53,DNC,48,DNC,29,DNC,,53
USA,9004,Douglas Hagan,Robert Woelful,,42,DNC,48,DNC,29,DNC,,54
AUS,8817,Nick Davis,Michael Duffield,,DNC,DNC,33,DNC,26,DNC,,55
USA,8939,John Wyles,Gareth Fletcher,,59,DNC,DNC,DNC,47,32,,56
USA,7062,Peter Scott,Jonny Moseley,,DNC,DNC,51,DNC,51,36,,57
USA,8831,Pierre Jeangirard,Paul Von,,34,DNC,DNC,DNC,33,DNC,,58
AUS,8277,John McLean,Jack McLean,,60,DNC,DNC,DNC,50,37,,59
GER,8775,Jan Sell,Wiebke Gewinn,TUSF,56,DNC,46,DNC,48,DNC,,60
AUS,8783,Sarah Withall,Marcus Cooper,,52,DNC,DNC,DNC,31,DNC,,61
AUS,8973,Brett Sharpe,Anthony Gaunt,,DNC,DNC,DNC,DNC,37,DNC,,62
USA,7156,Aaron Ross,Rob Waterman,,39,DNC,DNC,DNC,DNC,DNC,,63
USA,8017,Derek Campbell,Jon Henderson,,DNC,DNC,DNC,DNC,40,DNC,,64
USA,8813,Steve Kleha,Matthias Kennerknecht,,40,DNC,DNC,DNC,DNC,DNC,,65
USA,7068,Mike Coe,Russell Miller,,DNC,DNC,47,DNC,DNC,DNC,,66
AUS,8968,Matthew Hansen,Anthony Dean,,51,DNC,DNC,DNC,DNC,DNC,,67
USA,8245,Charlie Dore,Joe Requa,,DNC,DNC,52,DNC,DNC,DNC,,68
