Nation,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Points,Place
AUS,8644,David Porter,Michael Page,,1,1,1,3,1st
AUS,7904,Sam Cronin,Brad,,2,2,3,7,2nd
AUS,,Kruger,Kruger,,4,3,4,11,3rd
AUS,8628,Brian Robinson,Ian Dunn,,DNS,DNS,2,12,4th
AUS,,Nick Stabback,Ian Dunn,,3,4,DNS,12,5th
