,Boot,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Platzierungen 6,Punkte,Pl.
GBR,9032,Ian Pinnell,Christian Diebitsch,GWSC,1,3,1,1,1,3,,1
SUI,8569,Rene Betschen,Philippe Jacot,CNB,3,4,2,9,2,1,,2
FRA,8902,Philippe Boite,Fabrice Toupet,CVM,2,1,6,4,4,6,,3
GBR,9012,Andrew Smith,Tim Needham,,4,5,23,5,5,2,,4
GER,8975,Alexander Holzapfel,Stefan Worm,PSVK,5,6,3,8,3,4,,5
SUI,8613,Laurent Grob,Gilles Petermann,,6,2,4,6,6,10,,6
FRA,8515,Nicolas Croce,Florian Faucheux,,8,10,5,3,7,7,,7
FRA,8748,Muriel Jeanne,Geraud Lafortune,CNHS,17,9,8,2,9,5,,8
FRA,8270,Kleber Valery,Claude Gachet,YCG,7,7,7,7,8,8,,9
BEL,8536,Alain Tosello,Harald Van Exem,,10,8,15,15,17,11,,10
FRA,8773,Philippe Markt,Yves Treboz,,15,13,11,12,10,14,,11
FRA,8353,Eric Verplanken,Benjamin Roulant,,9,22,9,22,12,12,,12
FRA,8623,Dominique Rouanne,Virginie Laurrent,,13,11,16,21,13,16,,13
FRA,8402,Frederic Roucayrol,Loic Bleuez,,18,14,10,14,16,OCS,,14
FRA,8515,Yves Niddam,Thierry Gresle,,11,17,OCS,18,15,13,,15
FRA,7929,Jean Philippe Hermieu,Christian Simonnot,St Tropez,12,21,13,20,11,21,,16
ITA,8944,Luca Manzi,Alfredo Annese,,22,20,12,10,23,20,,17
FRA,8980,Michel Boiry,Jean Philippe Gastaud,CVP,16,15,14,23,22,18,,18
FRA,8943,Michael Delsemme,Roland Delsemme,ST Tropez,14,19,18,11,24,DNF,,19
FRA,8704,Elisabeth Neidhart,Bertrand Lapeyre,,21,16,20,13,21,22,,20
FRA,9010,Gilles Carvallo,Samuel Carvallo,CNHS,20,12,17,DNF,25,19,,21
FRA,4664,Denis David,Dubruel Denis,,19,23,19,19,20,17,,22
FRA,8348,Mathieu Ingrand,Stanislas Rault,,DNC,DNC,DNC,16,18,9,,23
FRA,6245,Lawrenc Banahan,Nicolas Claustres,,23,18,21,24,19,23,,24
FRA,8002,Jean-Philippe Artielle,Virginie Auger,,DNC,DNC,DNC,25,14,15,,25
FRA,8008,Vincent Dewaele,Rose Marie Savio,,24,24,22,17,26,24,,26
