nat,numero,helm,crew,club,R1,R2,R3,R4,R5,R6,Boat Name,sex,Totale,Netto,Rank
GER,9251,Jan-Philipp Hofmann,,Düsseldorfer Yachtclub,[12],1,1,5,1,8,,M,28,16,1
USA,9262,Howard Hamlin,Stephen Bourdow,NHYC - ABYC,4,2,[15],11,5,2,Thanks to Nellie,M,39,24,2
GBR,9215,Roger Gilbert,Ian Mitchell,Frensham Pond / Hayling Island,13,3,6,1,4,[16],Harken,M,43,27,3
GER,9198,Michael Daisenberger,Johannes Tellen,DTYC,2,[18],2,7,15,5,,M,49,31,4
GBR,9246,Michael Sims,,Burton SC,7,10,8,6,[12],1,,M,44,32,5
FRA,9270,Philippe Boite,Marin Carnot,CVSQ,1,[12],10,9,3,11,,M,46,34,6
USA,9266,Mike Holt,Carl Smit,Santa Cruz YC,11,5,[12],3,11,4,Ad blue,M,46,34,7
GBR,9238,Ian Pinnell,Charles Dwyer,HISC,8,13,5,[34],6,6,Oh La La,M,72,38,8
GER,9260,Tim Böger,Aron Tellen,SC,[15],4,3,15,9,15,,M,61,46,9
AUS,9263,Michael Quirk,Cameron McDonald,Cbcb,16,8,19,2,2,[25],,M,72,47,10
GER,9070,Stefan Köchlin,Andréas Achterberg,SVS,3,11,11,4,19,[23],,M,71,48,11
GER,9258,Alexander Holzapfel,Finn Böger,Post- Sportverein Koblenz,14,15,9,10,[21],7,,M,76,55,12
GBR,9228,Craig Thompson,Adam Wolnikowski,Thompson Boat Works,19,9,4,[23],16,10,,M,81,58,13
AUS,9191,Malcolm Higgins,David Snoad,BSYC,6,25,17,[42 DNC],14,9,Swear Jar,M,113,71,14
GBR,9093,Andy Smith,Harry Briddon,Ogston SC,5,6,21,18,24,[26],,M,100,74,15
GER,9090,Christian Kellner,Martin Schöler,HSC,21,14,7,19,[30],13,Bunja II,M,104,74,16
SUI,9267,Caroline Jacot,Philippe Jacot,CNB,25,7,18,[27],7,21,Slive,F,105,78,17
USA,9247,Mike Punnett,Paul von Grey,Penn Cove Yacht Club,10,23,[24],8,20,17,,M,102,78,18
CAN,9207,Robert Tennant,Rob Woelfel,RVicYC,23,31,13,13,[33],3,,M,116,83,19
AUS,9269,Mark Stowell,Simon Burt,RFBYC,9,26,16,22,[28],12,Jet Pilot,M,113,85,20
GER,912*,Nils-Henning Hofmann,Mathias Weidenbach,Düsseldorfer Yachtclub eV,26,19,[31],12,10,20,,M,118,87,21
GER,9127,Frederik Schaal,Felix Diesch,Segel- und Motorbootclub Überlingen,20,[33],26,14,17,14,Sherie,M,124,91,22
POL,9170,Karol Milewski,Paweł Choroba,Yacht Klub Stal Gdynia,[28],16,23,21,13,22,,M,123,95,23
GER,9231,Stefan Giesler,Frank Böhm,VSaW/SCV,17,22,[30],24,18,18,,M,129,99,24
SUI,9096,Bart Cédric,René Betschen,CNB,18,20,20,17,[25],24,Axon,M,124,99,25
GER,9195,Lena Stückl,Dirk Penno,Deutscher Touring Yachtclub,22,[38],28,29,8,19,,F,144,106,26
GER,9133,Frieder Achterberg,Wolfgang Stückl,Deutscher Touring Yacht Club e.V.,24,17,14,25,26,[27],Rammel IV,M,133,106,27
POL,9140,Dominik Ostrowski,Maciej Goździk,SWOS WARSZAWA,27,[42 DNC],29,20,23,34,,M,175,133,28
GER,9182,Alexander Swade,Patrick Treichel,DYC,30,[32],25,31,22,29,,M,169,137,29
GBR,9179,Pierre Jeangirard,Christian Pittack,Pcyc,34,[36],27,16,34,28,,M,175,139,30
AUS,9204,Matthew Hansen,Chris White,Fremantle sailing club,33,28,22,[40],27,30,Supersonic Hedgehog,M,180,140,31
USA,9210,Jimmy Franzone,Bjorn Antell,St Francis YC,29,21,[36],32,35,32,,M,185,149,32
GER,8806,Anna Hauschild,Jacob Niewiarra,Segel Club Seddin e.V.,[38],24,33,30,32,36,,F,193,155,33
SWE,9038,Jakob Lindvall,Karl Byrenius,Are Slalomklubb,32,34,32,26,[36],35,,M,195,159,34
GBR,9261,Martin Wedge,Graham Elliot,,31,27,35,35,[40],31,Eric,M,199,159,35
GBR,9168,Miles Odell,Max Odell,Northampton,36,37,[38],37,29,33,Jude,M,210,172,36
FRA,9219,Elisabeth Neidhart,Nicolas des Jamonières,YCIF,[42 DNC],42 DNC,34,28,31,39,,F,216,174,37
AUS,9225,Earle Alexander,Julia Achterberg,Darling Point SS,37,29,[40],33,38,38,,M,215,175,38
GER,9000,Julia Pösch,Thorsten Pösch,Segelclub Salzgitter e.V.,35,30,37,38,37,[42 DNC],,F,219,177,39
AUS,9071,Richard Hyde,Lindsay Gilbert,Dsrling Point Sailing Club,[39],35,39,39,39,37,Red Baron,M,228,189,40
GBR,9157,Chris White,Rory Odell,Northampton Sailing Club,40,[42 DNC],42 DNC,36,42 DSQ,40,,M,242,200,41
