"Numer na
iaglu",,wynikiMP 2012 klasy 505,,
DEN 8828,Michael Wonterghem,Fabiola Wonterghem,Sorg Sejlforening,1
POL 7957,Jakub Pawluk,Michał Redmerski,AZS UW,2
POL 8665,Bartosz Makała,Łukasz Skrzycki,YK Stal Gdynia,3
POL 7669,Antonina Żółtowska,Piotr Żółtowski,AZS Poznari/SKZ Hestia Sopot,4
GER 8721,Daniel Czeniga,Martin Lietz,Segelverein Unterer Kyritzer See,5
GER 8947,Ralf Schneiderwind,Axel Priegann,SLRV,6
POL 8129,Konrad Plewa,Jerzy Plewa,ZKZ Zbaszyn,7
GER 9026,Igor Graczyk,Maciej Graczyk,ZKZ Zbaszyri,8
POL 8451,Dariusz Rzadkowski,Krzysztof Rzadkowski,ZKZ Zbaszyri,9
GER 8663,Mieczysław Szwed,Jacek Szwed,,10
GER 8222,Michał Zera,Łukasz Grabia,UKS Barnim Goleniow,11
POL 8483,Mariusz Michalski,Piotr Duma,YK Stal Gdynia,12
GER 6611,Krystian Doch,Kazimierz Pelasik,Jacht Klub Kamien Pomorski,13
GER 5350,Maciej Piasecki,Andrzej Borowiak,Rzemi6Inik Poznan,14
GER 8005,Zbigniew Monkiewicz,Beata Małecka-Monkiewicz,,15
POL 4752,Romuald Szukała,Bartosz Zimny,ZKZ Zbaszyri,16
POL 8663,Karol Tobolski,Jakub Tobolski,,17
GER 8665,Adam Domżalski,Jakub Doruch,,18
GER 8674,Andrzej Kubiak,Marek Milewski,,19
