Nr Zagla,Sternik,Załoga,Klub,Punkty,Lp.,,,,
POL 7669,Piotr Żółtowski,Andrzej Borowiak,SKŻ SOPOT,1,4,2,1,8,1
POL 8129,Konrad Plewa,Jerzy Plewa,ZKŻ ZBĄSZYŃ,3,2,1,2,8,2
GER 8222,Ewa Szyfter,Kacper Kaczmarek,AZS POZNAŃ,2,5,4,3,14,3
POL 9015,Igor Graczyk,Maciej Graczyk,ZKŻ,4,1,3,7,15,4
POL 8451,Dariusz Rzadkowski,Krzysztof Rzadkowski,ZBĄSZYŃSKI KLUB ŻEGLARSKI,5,3,5,4,17,5
POL 4752,Romuald Szukała,Bartosz Zimny,ZKZ ZBĄSZYŃ,8,7,8,5,28,6
POL 8005,Zbigniew Monkiewicz,Beata Małecka-Monkiewicz,,6,6,7,10,29,7
GER 7942,Wojtek Gierak,Marek Matysiewicz,5 WODNA DRUŻYNA HARCERSKA,DNF,8,6,9,35,8
POL 8665,Adam Domżalski,Jakub Doruch,,7,9,DNF,8,36,9
POL 8663,Karol Tobolski,Jakub Tobolski,,DNF,DNF,DNF,6,42,10
POL 8674,Andrzej Kubiak,Marek Milewski,POZNAŃSKI JACHT KLUB,DNF,DNF,DNF,DNF,48,11
