Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Brutto,Netto,Place
FRA,9220,Philippe Boite,Carnot Marin,CVSQ / CVSQ,2,2,1,4,1,1,1,1,1,14,10,1
FRA,8716,Martin Aline,Doumic Augustin,Y C ILE DE FRANCE / S N TRINITE S/MER,1,1,2,2,6,5,8,8,8,41,33,2
FRA,9147,De Kergariou Herve,Ancelot Jean Claude,CN ARRADON / ASN QUIBERON,5,3,4,5,5,6,4,5,3,40,34,3
FRA,9076,Serge Gubri,Le Goff Maxime,C V SEINE-PORT / CVML,4,7,3,1,7,3,7,6,4,42,35,4
FRA,8870,Christian Silvestre,Auberger Nicolas,Y C ILE DE FRANCE / Y C ILE DE FRANCE,8,5,6,3,2,DNF 13,5,4,6,52,39,5
FRA,9219,Neidhart Elisabeth,Gallo Pierre Jean,Y C ILE DE FRANCE / CVSQ,7,4,9,10,3,2,3,9,5,52,42,6
FRA,8869,Boyer Etienne,Boyer Emmanuel,CNTL / C V BORDEAUX C M,6,6,5,7,8,8,10,2,2,54,44,7
FRA,8895,Michel Nicolas,Michel Laurent,C V A N NANTES / C V A N NANTES,10,8,8,6,4,4,6,3,9,58,48,8
FRA,9175,Caminade Francois,Ludovic Roblin,YC Grenoble Chara. / AAN PORT-BLANC,3,DNF 13,DNF 13,DNF 13,DNF 13,9,2,7,7,80,67,9
FRA,9068,François de Lisle,Desjuzeur Marc,C N FERRET / C N RENNES,9,9,10,8,10,7,9,10,10,82,72,10
FRA,9086,Eric Quemard,Victor Antoine,Y C ILE DE FRANCE / Y C ILE DE FRANCE,11,10,7,9,9,DNF 13,DNF 13,DNF 13,DNF 13,98,85,11
FRA,9024,Valery Eric,Cadas Nicolas,ASGE D.A Voile / ASGE D.A Voile,12,11,11,11,11,10,DNF 13,DNF 13,DNF 13,105,92,12
