e Identif,Concurrent,Helm,Crew,Club,Co. 1,Co. 2,Co. 3,Co. 4,Co. 5,Co. 6,Co. 7,Co. 8,Co. 9,Co. 10,Co. 11,Crew Club,Total,After,Plac
FRA,9220,Philippe Boite,Marin Carnot,CVSQ,1,3,1,5*,2,3,1,1,1,1,1,CVSQ,20,15,1
SUI,9147,Caroline Jacot,Philippe Jacot,Suisse,2,4,5*,1,1,5,5,4,4,2,3,,36,31,2
GER,9182,Alexander Holzapfel,Finn Boeger,Allemagne,5,2,3,2,3,1,4,6*,2,3,6,,37,31,3
GER,9169,Tim Böger,Markus Schöner,Allemagne,3,1,2,14,15*,8,DPLi 5,2,3,4,5,,62,47,4
FRA,9081,Gilles Chapelin,Christian Chapelin,C V BORDEAUX C M,8*,6,4,6,6,6,6,3,5,6,7,CVML,63,55,5
FRA,8733,Alexandre Demange,Charles-Antoine De Joux,S R ROCHELAISES,DPLi 14,5,DNF 34*,11,5,4,3,23,7,5,2,A S CHEMINOTS ROCH,113,79,6
FRA,8847,Bastian Le Morvan,Matthieu Gougeon,S N LARMOR PLAGE,7,10,13,12,11,16*,8,7,8,8,4,Y C ILE DE FRANCE,104,88,7
FRA,9219,Elisabeth Neidhart,Pierre Jean Gallo,Y C ILE DE FRANCE,9,7,9,7,7,13*,10,9,11,9,11,CVSQ,102,89,8
FRA,9045,Herve De Kergariou,Tristan Le Jeune,CN ARRADON,15,15,12,3,8,7,7,12,13,10,17*,SN BAIE ST MALO,119,102,9
FRA,9218,Bertrand Commeil,Charles Commeil,S R ROCHELAISES,4,21*,6,9,16,15,12,8,14,7,12,S R ROCHELAISES,124,103,10
FRA,8716,Aline Martin,Augustin Doumic,Y C ILE DE FRANCE,13,19,16,8,4,2,22*,11,17,11,10,S N TRINITE S/MER,133,111,11
BEL,8898,Bas Van Assche,Toon Van Assche,Belgique,6,8,10,16*,13,10,14,10,10,16,14,,127,111,12
FRA,8870,Christian Silvestre,Nicolas Auberger,Y C ILE DE FRANCE,14,9,8,21*,14,11,20,14,9,13,20,Y C ILE DE FRANCE,153,132,13
FRA,9031,Philippe Lucienne,Vivien Lucienne,S.R.C Sud-Oise,12,17,14,DPLi 18,12,12,13,21*,15,12,8,S.R.C Sud-Oise,154,133,14
FRA,9150,Valentin Dechauffour,Pierre Gendry,ASN QUIBERON,18,16,7,27*,19,23,24,5,6,18,19,S N O NANTES,182,155,15
BEL,8613,Kim Van Assche,Lien Van Assche,Belgique,16,14,19*,13,18,14,19,15,18,15,18,,179,160,16
FRA,9075,Loic Bleuez,Guillaume Henrio,Y C CANNES,24*,18,11,10,24,24,17,16,12,14,16,,186,162,17
FRA,8895,Nicolas Michel,Laurent Michel,C V A N NANTES,19,13,15,17,21*,18,21,19,16,17,13,C V A N NANTES,189,168,18
FRA,9019,Veronique Brenet,Jean-Pierre Peter,A C D'ALSACE LORRAIN,22,DNF 34*,DNF 34,20,9,9,9,17,20,19,22,A C D'ALSACE LORRAIN,215,181,19
FRA,9068,Francois De Lisle,Marc Desjuzeur,C N FERRET,10,12,20,23,17,21,DPLi 19,18,24,21,DSQ 34*,C N RENNES,219,185,20
FRA,8729,Baptiste Lafortune,Jordane Lafortune,C V SEINE-PORT,25,22,17,19,10,19,23,20,22,23,21,C V SEINE-PORT,221,196,21
FRA,9175,Ludovic Roblin,Francois Caminade,AAN PORT-BLANC,17,11,21,4,22,22,18,25,DNC 34*,,DNC 34,YC Grenoble Chara.,242,208,22
SUI,9060,Catherine Houriet,Gil Donze,Suisse,20,DNC 34*,DNC 34,DNC 34,DNC 34,DNC 34,11,13,19,22,9,,264,230,23
FRA,8950,Eric Quemard,Antoine Victor,Y C ILE DE FRANCE,23,20,18,22,23,25,32,22,26,24,HTP 34*,Y C ILE DE FRANCE,269,235,24
FRA,8800,Claude Lafortune,Marine Delagrange,C V SEINE-PORT,DNF 34*,RET 34,DNF 34,18,20,17,26,24,23,25,23,C V SEINE-PORT,278,244,25
FRA,8614,Denis Morel,Matthieu Morel,C V JULLOUVILLE,27,NSC 34*,DNC 34,DPLi 27,25,26,25,DNF 34,21,20,15,,288,254,26
FRA,7941,Pierre Yves Chene,Erwan Marrec,CNROSTIVIEC LOPERHET,26,23,22,30,28,27,30,27,25,DNC 34*,DNC 34,CNROSTIVIEC LOPERHET,306,272,27
FRA,8152,Eric Le Morvan,Axellle Pillain,C N HAUTE SEINE,DNF 34*,24,23,29,26,30,29,DNF 34,DNC 34,26,24,BREST BRETAGNE NAUTI,313,279,28
FRA,8869,Jean Jacques Granchamp,Emmanuel Boyer,C V BORDEAUX C M,21,DNC 34*,DNC 34,25,DSQ 34,20,15,DNF 34,DNC 34,DNC 34,DNC 34,C V BORDEAUX C M,319,285,29
FRA,321,Thierry Trompette,Tanguy Trompette,S N LARMOR PLAGE,28,DNF 34*,DNC 34,31,30,29,28,26,NSC 34,28,HTP 34,S N LARMOR PLAGE,336,302,30
FRA,88471*,Robin Michel,Marin Michel,S N LARMOR PLAGE,DNF 34*,DNC 34,DNC 34,28,29,28,27,DNF 34,HTP 34,27,DNC 34,B N ILE GRANDE,343,309,31
FRA,8734,David Teyssier,Frederic Morand,C V SANGUINET,DNF 34*,DNC 34,DNC 34,26,27,DNC 34,31,28,DNF 34,29,HTP 34,C V SANGUINET,345,311,32
FRA,9164,Sabine Dechauffour,Jacques Dechauffour,ASN QUIBERON,DNC 34*,DNC 34,DNC 34,DNC 34,DNC 34,DNC 34,DNC 34,DNC 34,DNC 34,DNC 34,DNC 34,ASN QUIBERON,374,340,
