Nation,Sail No,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,Pts,Pos
USA,9072,Mike Holt,Rob Woelfel,SANTACRUZ YC,1,1,1,1,1,15,2,7,1
GER,9121,Jan-Philipp Hofmann,Felix Brockerhoff,DYC,3,2,2,7,3,2,5,17,2
USA,9153,Howard Hamlin,Jeff Nelson,ETATS UNIS D'AM,4,4,7,5,2,3,1,19,3
GBR,9203,Nathan Batchelor,Sam Pasloe,TYNEMOUTH SC,2,5,3,8,6,1,6,23,4
GER,9152,Dr Wolfgang Hunger,Julien Kleiner,ALLEMAGNE,7,3,18,3,4,5,3,25,5
FRA,9175,Philippe Boite,Mathieu Fountaine,CVSQ,18,8,9,2,7,10,8,44,6
SUI,9147,Caroline Jacot,Philippe Jacot,SUISSE,6,7,8,11,16,8,7,47,7
GBR,9177,Thomas Gillard,Harry Briddon,SVSC,10,6,12,4,5,DNC,13,50,8
GER,9182,Alexander Holzapfel,Finn Boeger,PSVK,8,12,6,21,11,4,11,52,9
GER,9090,Christian Kellner,Martin Schöler,HSC,13,11,4,9,10,9,10,53,10
GBR,9190,Ian Pinnell,Alex Davies,HISC,12,10,11,6,8,6,15,53,11
GER,9169,Tim Böger,Jess Holger,HSC,5,9,13,10,12,11,12,59,12
GBR,9178,Chris Lewns,Jack Kilburn,WHITSTABLE YACHT CLUB,14,28,5,16,15,17,4,71,13
GER,9035,Ronald Roos,Morten Roos,ALLEMAGNE,19,13,10,13,17,14,14,81,14
GER,9070,Sophie Söllner,Andi Achtesberg,CYC,11,14,27,22,9,25,9,90,15
SUI,9163,Florian Stauffer,Valery Jacob,SUISSE,15,17,14,12,19,19,16,93,16
USA,9168,Edwards Bruce,David Shelton,SANTACRUZ YC,20,16,20,15,14,12,21,97,17
FIN,9193,Jukka Nieminen,Antti Salonen,SP,17,25,21,DNF,13,7,18,101,18
FRA,9099,Gilles Chapelin,Alain Karadjian,C V BORDEAUX,22,27,22,19,30,21,17,128,19
GER,8720,Lennart Tasche,Frederit Tasche,ALLEMAGNE,23,34,17,14,21,29,28,132,20
GER,9189,Hendrik Schultz,Ute Overlander,SCLW,28,20,23,18,31,24,19,132,21
GER,9135,Jens Bidderer,Thomas Wasllewslar,HSC,25,19,19,DNF,23,23,24,133,22
GER,9136,Stewart Mears,Richard Tucker,RCYC,DNF,15,24,17,28,30,26,140,23
FRA,8954,Serge Gubri,Franck Agrapart,C V SEINE‑PORT,29,26,29,DNF,20,16,20,140,24
GER,9133,Frieder Achterberg,Wolfgang Stückl,ALLEMAGNE,16,18,15,DNF,18,DNC,DNC,145,25
FRA,8870,Christian Silvestre,Nicolas Auberger,Y C ILE DE FRANCE,24,35,16,24,24,27,31,146,26
GER,9130,Andreas Jungclaus,Johannes Kindermann,HAMBURGER SEGEL CLUB,33,21,33,20,25,28,25,152,27
GER,8750,Peter Uruse,Arne Wittemer,SC HATTINJEN,26,31,31,DNF,22,20,22,152,28
FRA,9075,Loic Bleuez,Frederic Roucayrol,Y C CANNES,27,23,30,25,34,18,32,155,29
FRA,8820,Thibault Di Pede,Fabrice Toupet,C V SEINE‑PORT,21,30,26,23,32,26,29,155,30
GER,9113,Joseph Schutte,Karsten Stumpel,SLRV,30,32,25,DNF,27,22,23,159,31
SUI,9060,Catherine Houriet,Gil Donze,SUISSE,34,37,DNF,DNF,33,13,27,183,32
FRA,9086,Elisabeth Neidhart,David de Monteil,Y C ILE DE FRANCE,32,29,32,DNF,29,31,30,183,33
AUS,9134,Michael Quirk,Curtis Hartmann,RPEYC,9,22,DNC,DNF,DNC,DNC,DNC,187,34
GER,9114,Mats Westholm,Johan Calvert,ALLEMAGNE,31,33,28,DNF,26,32,DNC,189,35
GER,9161,Walter Steding,Hans‑Werner Steding,ALLEMAGNE,RET,24,35,DNF,DNC,DNC,DNC,215,36
ITA,8916,Marco Giraldi,Luca Streule,CVLL,DNC,36,34,DNF,DNC,DNC,DNC,226,37
GER,8975,Maike Roos,Marer Roos,ALLEMAGNE,35,DNF,36,DNF,DNC,DNC,DNC,227,38
