Ident,Concurrents,Ret P,Tot P,,Race 1,Race 2,Race 3,Race 4,Total,Netto,Rgs
SUI,9147,Caroline Jacot,Philippe Jacot,,1*,1,1,1,4,3,1
FRA,9175,Philippe Boite,Mathieu Fountaine,,9*,2,2,2,15,6,2
FRA,8716,Aline Martin,Yves Coltier,,4,3,3,10*,20,10,3
FRA,8820,Thibault Di Pede,Fabrice Toupet,,25 DNF*,6,5,4,40,15,4
FRA,8904,Nicolas Martin,Julien Lafortune,,6,5,11*,7,29,18,5
SUI,8961,Toni Utiger,Markus Heilig,,2,7,10,18*,37,19,6
BEL,8898,Bas Van Assche,Toon Van Assche,,11*,8,8,3,30,19,7
FRA,8870,Christian Silvestre,Nicolas Auberger,,3,15*,12,5,35,20,8
FRA,9019,Veronique Brenet,Jean-Pierre Peter,,7,4,13,17*,41,24,9
BEL,8613,Kim Van Assche,Sander Smeets,,15*,13,4,8,40,25,10
FRA,8847,Bastian Le Morvan,Matthieu Gougeon,,10,9,6,11*,36,25,11
FRA,9086,Elisabeth Neidhart,Stephane Maisse,,5,14*,7,14,40,26,12
FRA,8954,Muriel Jeanne,Franck Agrapart,,14*,11,9,9,43,29,13
FRA,8900,Serge Gubri,Jean Claude Ancelot,,12,20*,14,6,52,32,14
BEL,8625,Casper Martens,Jeroen Smeets,,8,12,18,20*,58,38,15
SUI,9060,Catherine Houriet,Gil Donze,,17*,10,15,13,55,38,16
FRA,9010,Gilles Carvallo,Eric Le Morvan,,13,17,21*,12,63,42,17
FRA,8729,Jordane Lafortune,Pierre Penisson,,16,18,16,22*,72,50,18
FRA,7710,Jean-Pierre Derungs,Tom Roussel,,19,24*,17,15,75,51,19
BEL,9064,Philippe Vandersteen,Theo Geeraert,,25 DNF*,19,19,16,79,54,20
FRA,8002,Jean Philippe Artielle,Antoine Delagrange,,22,16,20,23*,81,58,21
FRA,6722,Marine Delagrange,Michel Nedelec,,18,21,22*,19,80,58,22
FRA,9068,Francois De Lisle,Marc Desjuzeur,,21,22,23*,21,87,64,23
FRA,8748,Samuel Carvallo,Romain Adnot,,20,23,24*,24,91,67,24
