Nation,Boat no,Helm,Crew,Club,Race 1,points,place
GBR,8881,Terry Scutcher,Christian Diebitsch,Shotley SC,,,1
GBR,8526,Tim Bird,Richard Nurse,Burton SC,,,2
GBR,8887,Richard Williams,John Davies,Royal Harwich YC,,,3
IRL,8408,Ewen Barry,Charles Dwyer,MBSC,,,4
GBR,8885,Ben Illfe,Simon Lake,,,,5
IRL,8542,Ronan Kenneally,John Dunlea,MBSC,,,6
