Nation,Sail No,Helm,Crew,Boat,R1,R2,R3,R4,R5,R6,R7,R8,R9,Points,Place
IRL,8408,Ewen Barry,Charles Dwyer,,1,1,5,1,1,1,1,1,1,11,1
IRL,7852,Brian Jones,Dale Spoonley,,2,2,4,3,3,2,3,2,3,24,2
IRL,8552,Michael O'Brien,John O'Gorman,,3,4,7,7,7,4,2,3,2,39,3
IRL,8231,Peter Scannell,Ronan Kenneally,Cold Toes,5,7,1,2,4,5,5,5,7,40.75,4
IRL,8072,Chris Marwood,Gavin Burnell,,7,7,3,4,7,3,4,4,4,43,5
IRL,8521,Alex Barry,Sandy Rimmington,Dazed & Confused,4,3,2,5,2,7,7,7,7,44,6
