Nation,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
GBR,8736,Ian Pinnell,Nick Powell,Grafham Water,1,1,2,9,6,DNF,19,1
GBR,8291,Richard Sims,Simon Wood,Burton,3,12,4,21,2,3,24,2
GBR,8555,Dave Smithwhite,Neil Fulcher,Frensham Ponds,2,2,DNF,5,4,12,25,3
GBR,8381,Terry Scutcher,Ray Chittock,Shotley,15,9,5,6,3,4,27,4
GBR,8568,Charles Walters,Christian Diebitsch,Datchet,9,5,DNF,2,8,8,32,5
GBR,8495,Dave Peacock,Chris Hewkin,Burton,10,3,1,22,12,7,33,6
GBR,8432,Debbie Jarvis,Mark Darling,Grafham Water,4,R,RET,1,1,2,38,7
GBR,8418,Eamon Cuthbert,Mark Cuthbert,Leigh & Lowton,13,11,6,4,5,14,39,8
GBR,8419,Stuart Turnbull,Jason Lunn,Burton,6,4,3,20,19,9,41,9
GBR,8429,Rob Napier,Jonathan Rennie,HOLYC,14,10,9,13,14,10,56,10
GBR,8458,Jack Hayhurst,Adrian Coates,Burton,8,13,7,DNF,DNF,5,63,11
GBR,8694,Andy Williams,Andy Edmonds,Portishead,12,8,DNF,16,15,16,67,12
GBR,8705,Richard Lord,Simon Lake,Grafham Water,7,DNF,DNF,7,9,18,71,13
GBR,8508,Sam Neal,Andy Johnson,Grafham Water,11,R,RET,3,13,15,72,14
GBR,8489,John Webster,Eric Ironmonger,Burton,RET,6,OCS,15,18,6,75,15
GBR,8676,Clive Robinson,Gary Cawthorn,Burton,DNF,DNF,DNF,11,7,1,79,16
GBR,8672,Miles Odell,Andrew Streeter,Hayling Island,5,7,OCS,8,DNF,DNF,80,17
GBR,8535,Francis Cram,Dougal Cram,Hayling Island,17,DNF,DNF,19,10,11,87,18
GBR,8745,Chris Pearson,Frank Rainsborough,Queen Mary,DNF,15,8,25,16,DNF,94,19
GBR,8678,Jim Berry,Jon Peats,Chew Valley Lake,16,DNF,DNF,17,25,17,105,20
GBR,7916,C Hurrell,L Hurrell,Alton Water,18,14,DNF,24,20,DNF,106,21
GBR,8408,Mike Leaver,Dylan Marvelly,King George Reservoir,RET,DNF,DNF,14,11,DNF,115,22
GBR,8257,David Poston,Mark Reynolds,Bough Beech,DNF,DNF,DNF,12,23,20,115,23
GBR,8095,Peter Burwood,Stephen Burwood,Grafham Water,RET,RET,RET,23,22,13,118,24
GBR,8306,Chris Robinson,Tom Philips,Burton,DNF,DNF,DNF,10,21,DNF,121,25
GBR,8685,Alex Jackson,Howard Breckell,SMYC,DNF,DNF,DNF,26,17,19,122,26
GBR,8510,Andrew Thorp,Nick Thorp,Shotley,DNF,DNF,DNF,18,24,DNF,132,27
GBR,8532,Tom Clayton,Dennis Hyatt,Shotley,RET,DNF,DNF,DNF,26,21,137,28
GBR,8034,Toone,N Hurrell,Alton Waters,RET,DNF,DNF,DNF,DNF,DNF,150,29
