Nation,Sail Number,Helm,Crew,Club,Race 1,Points,Position
GBR,8460,Martin Goult,Gordon Russell,,,,1
GBR,8676,Clive Robinson,Gary Cawthorne,,,,2
GBR,8489,John Webster,Eric Ironmonger,,,,3
GBR,8495,Dave Peacock,Chris Hewkin,,,,4
GBR,8458,Jack Hayhurst,Adrian Coates,,,,5
GBR,8291,Richard Sims,Simon Wood,,,,6
GBR,0,John Walker,James Turner,,,,7
