Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Points Netto,Place
GBR,8481,Simon Payne,Bill Masterman,HISC,1,1,1,1,DNC,4,1
GBR,8568,Charles Walters,Christian Diebitsch,,3,8,4,3,2,12,2
GBR,8555,David Smithwhite,Paul Young,HISC,5,5,2,2,RTD,14,3
GBR,8432,Debbie Jarvis,Dan Johnson,Grafham,4,3,3,4,DNC,14,4
GBR,8679,Hector Cisneros,Lawrence Crispin,,6,4,DNC,5,1,16,5
GBR,8495,David Peacock,Chris Hewkin,Burton,8,6,5,7,4,22,6
GBR,8701,Paul Lovesy,John Ironmonger,,10,7,6,6,DNC,29,7
GBR,8429,Robert Napier,Jonathan Rennie,HOLYC,12,12,7,8,5,32,8
GBR,8736,Ian Pinnell,Nick Powell/Claire,,2,2,DNC,9,DNC,33,9
GBR,8460,Martin Goult,Gordon Russell,Burghfield,9,9,DNC,DNC,3,41,10
GBR,8307,Paul Foddy,Peter Smithin,Stokes Bay,11,11,10,11,DNC,43,11
GBR,8694,Andy Williams,Andy Edmonds,Portishead,7,10,9,DNC,DNC,46,12
GBR,8535,Jan Susai,Francis Cram,HISC,RTD,17,11,13,7,48,13
GBR,8483,Simon Sydenham,Chris Ritchie,,DNC,DNC,13,10,6,49,14
GBR,8532,Tom Clayton,Dennis Hyatt,,16,16,12,RTD,8,51,15
GBR,8678,Jim Berry,Tim Scarisbrick,,RTD,DNC,8,12,DNC,58,16
GBR,8745,Chris Pearson,Frank Rainsborough,,13,13,DNC,DNC,DNC,66,17
GBR,8467,Chris Romans,Brenda Romans,Portishead,14,14,DNC,DNC,DNC,68,18
GBR,8726,Martin Stainsby,Bill Munnery,HISC,15,15,DNC,DNC,DNC,70,19
