Nation,Sail Number,Helm,Crew,Club,Race 1,Race 2,Points,Position
GBR,8679,Hector Cisneros,Lawrence Crispin,,4,1,5,1
GBR,8694,Andy Williams,Andy Edmonds,,2,3,5,2
GBR,8481,Simon Payne,Bill Masterman,,5,2,7,3
GBR,8291,Richard Sims,Simon Wood,,7,4,11,4
GBR,8306,Chris Robinson,George,,6,6,12,5
GBR,8434,L Fernley,,,10,5,15,6
GBR,8555,David Smithwhite,Neil Fulcher,,3,12,15,7
GBR,8678,Jim Berry,Richard Berry,,9,7,16,8
GBR,8474,Chris Thorne,Andy Tyas,,8,8,16,9
GBR,8408,Mike Leaver,,,11,9,20,10
GBR,8676,Clive Robinson,Gary Cawthorne,,1,DSQ,13,11
GBR,7911,John Donnelly,,, , , ,12
GBR,8464,Ian Nicholson,,, , , ,12
GBR,7755,Hutson,,, , ,,12
