SAIL,NUMBER,Helm,Crew,CLUB/ORG,R1,R2,R3,R4,R5,R6,BOAT NAME,TOTAL,NET,Place
USA,8854,Craig Thompson,Adam Wolnikowski,Thompson Boat Works,2,5,[18],1,4,3,None,33,15,1
USA,8930,Duane Delfosse,Mike Hull,LSYC,5,6,[14],5,6,2,TBD,38,24,2
USA,9041,Henry Amthor,Chris Pfrang,Hampton Yacht Club,[14],9,12,4,2,4,Benchmark,45,31,3
IRL,8987,Peter Scannell,John Dunlea,Monkstown Bay Sailing Club,[19],16,8,2,7,1,Lookadatla,53,34,4
USA,8715,Paul Taylor,Sol Marini,None,4,[18],1,13,11,5,Forza ,52,34,5
USA,9095,Macy Nelson,Nate Barton,West River Sailing Club,9,[13],7,6,5,8,Highway 95 Revisited,48,35,6
CAN,7606,Robert Bartlewski,Andrew Gesing,OHCC Toronto/NSC Ottawa,3,3,4,17,10,[20],Kraken,57,37,7
CAN,8821,Jeff Boyd,Martin Ten Hove,Kingston Yacht Club,7,2,11,[12],9,11,Grace too,52,40,8
USA,8786,Luke Ingalls,John Ingalls,Sakonnet YC ,11,14,3,10,3,[17],Jumping Jack Flash ,58,41,9
USA,8851,Ted Huebner,Michael Komar/Aidan Naughton,Several,1,1,17,14,[19],10,None,62,43,10
USA,8643,Barney Harris,,WRSC & PRSA,13,4,2,9,17,[18],Ten Percent for the Big Guy,63,45,11
CAN,8841,Ali Meller,Russell Miller,Kingston Yacht Club,18,8,16,3,1,[DNS - 27],Swagman,73,46,12
CAN,9186,Shona Moss Lovshin,Stephen Lovshin,Nepean Sailing Club,6,17,13,[19],16,6,None,77,58,13
CAN,138*,Christian Voyer,Luke Strickland,Nepean sailing club,[20],15,5,11,18,13,Gowabunga ,82,62,14
USA,9005,Tom Kivney,Russell Gordon,Hingham Yacht Club,16,12,21,8,8,[RET - 27],KatieBear,92,65,15
CAN,920/8600*,Marie Gendron,David Brown,Nepean Sailing Club,[22],19,10,18,12,7,Mystery,88,66,16
CAN,8587,Paul Place,Alexander Tong,Nepean Sailing club ,12,11,20,[22],13,14,The Pink Panther Strikes Again,92,70,17
USA,8819,Kyle Pfrang,Hank Baliey,Hampton Yacht Club,10,[23],22,7,22,12,None,96,73,18
USA,9139,Jackson Montague,Mason Chapman,Fishing Bay Yacht Club,17,[22],9,15,15,19,Wild Thing ,97,75,19
CAN,9138,Marek Balinski,,OHCC,[DNS - 27],21,6,20,14,15,None,103,76,20
CAN,8850,Douglas Watson,Yunus Akcor,Outer Harbour Centreboard Club,[23],7,15,21,20,16,Dr. Crash,102,79,21
CAN,9042,Bruce Clifford,Simon Van Wonderen,OHCC Toronto,15,[24],19,16,21,9,Rocinante,104,80,22
USA,8951,David Kirkpatrick,Keith Longson,Sail Newport,8,10,[DNS - 27],DNS - 27,DNS - 27,DNS - 27,Toxic Masculinity,126,99,23
CAN,5*,David Mincoff,Philippe Doucet,Nepean Sailing Club,24,[25],24,23,23,21,Red Rocket,140,115,24
USA,8822,David Burchfiel,Jay Smith,Fleet #155 - Carolina Sailing Club,21,20,23,[DNS - 27],DNS - 27,DNS - 27,Wicked Pissa,145,118,25
USA,6936,Will Platt,Bill Platt,Pettipaug Yacht Club ,[DNS - 27],DNS - 27,DNS - 27,DNS - 27,DNS - 27,DNS - 27,Dawntreater,162,135,26
