Country,SailNo,HelmName,CrewName,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Boat,Total,Nett,Rank
CAN,920*,Marie Gendron,Ali Meller,NSC,2,[9],2,1,[12 OCS],1,1,2,3,Mystery,33,12,1
CAN,8821,Jeff Boyd,Danielle Boyd,Kingston YC,1,3,[4],2,3,[12 OCS],2,1,2, ,30,14,2
CAN,8645,Marg Hurley,Andrew Gesing,NSC,4,1,1,3,6,3,[12 RET],6,[12 DNC],Green With Envy,48,24,3
CAN,8735,Brent Beninger,Alex Taylor,NSC,[8],8,7,[9],1,2,7,4,1,Spaghetti Factory,47,30,4
CAN,8696,Debbie Ashby,Dave Adams,NSC,[10],[6],6,4,5,5,4,3,6,Loose Unit,49,33,5
CAN,8587,Paul Place,Shona Moss-Lovshin,NSC,3,2,3,6,[12 DNC],[12 OCS],3,5,12 DNC,The Pink Panther,58,34,6
CAN,5*,Evania Lovshin,Liam Downes,NSC,5,4,[8],8,[12 OCS],4,5,7,5,Red Rocket,58,38,7
CAN,7776,Christian Voyer,Rob Voyer,NSC,[12 DNC],[12 DNC],9,7,2,7,8,9,4,Gowabunga,70,46,8
CAN,8410,Clarissa Bush,Chris Gillies,NSC,6,[12 DNC],[12 DNC],12 DNC,4,6,6,8,12 DNC,Bandersnatch,78,54,9
CAN,7605,Renka Gesing,Adam Gesing,Kingston YC,7,7,10,5,[12 DNC],[12 DNC],12 DNC,12 DNC,12 DNC, ,89,65,10
CAN,6910,John Bryant,Jonathon Tremblay,NSC,9,5,5,[12 DNS],[12 DNC],12 DNC,12 DNC,12 DNC,12 DNC,Toil & Trouble,91,67,11
