Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat Name,Points Total,Points Netto,Place
USA,8411,Dan Merino,Bill Jenkins,,2,1,1,,1,,,,,1
USA,8851,Stephen Gay,Chuck Fulmer,,,,,1,,,,,,2
USA,,John Billings,Mike Jue,,,,,,,,,,,3
USA,,,,,,,,,,,,,,
USA,,,,,,,,,,,,,,
USA,8851,Keith Davids,,,1,,,,,,,,,
