Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Points Total,Points Netto,Place
USA,8*,Howard Hamlin,Andy Zinn,,1,1,4,1,2,1,2,1,13,9,1
USA,8714,Mike Martin,Paul Allen,,2,2,2,4,1,3,3,3,20,16,2
USA,8081,Nick Adamson,Steve Bourdow,,3,4,1,3,3,2,4,2,22,18,3
USA,8822,Mike Holt,Ben Benjamin,,4,3,3,2,4,9,1,4,30,21,4
USA,7156,Aaron Ross,Rob Waterman,,5,5,5,5,5,4,5,5,39,34,5
USA,8731,Thad Lieb,Mike Smith,,6,6,6,6,7,6,6,6,49,42,6
USA,8813,Eben Russell,Matthias Kennerknecht,,7,7,7,9,9,5,8,9,61,52,7
USA,8786,Hubert Guy,Antoine Laussu,,8,8,8,9,6,7,7,9,62,53,8
USA,822,Ian O'Leary,Gunther Wells,,9,9,9,9,9,9,9,9,72,63,9
