Pos,Sail,Skipper,,,Race 1,Race 2,Race 3,Race 4,Race 5,TotalPoints,Pos
USA,8438,James McKenna,,,3,2,1,1,1,8.00,1
USA,8790,John Bergquist,,,4,4,2,3,3,16.00,2
USA,814,Stergios Papadakis,,,7/DNF,7/DNF,3,2,2,21.00,3
USA,8269,Matt Schoene,,,1,1,7/DNC,7/DNC,7/DNC,23.00,4
USA,7148,Bryan Richardson,,,2,3,7/DNC,7/DNC,7/DNC,26.00,5
USA,7776,Chris Gildeo,,,7/DNF,7/DNF,7/DNC,7/DNC,7/DNC,35.00,6
