Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points Total,Points Netto,Place
USA,8714,Mike Martin,Jeffrey Nelson,,[1],1,1,1,1,1,,5,1
USA,18*,Howard Hamlin,Andrew Zinn,,[5],2,3,3,2,2,,12,2
USA,8081,Nick Adamson,Stephen Bourdow,,2,[5],4,2,5,4,,17,3
USA,8815,Dalton Bergan,Fritz Lanzinger,,[28/DNF],3,2,4,6,5,,20,4
USA,8822,Mike Holt,Neil Fulcher,,3,4,5,6,[8],6,,24,5
USA,7069,Adam Lowry,David Byron,,10,6,7,10,[12],8,,41,6
USA,8878,Hasso Plattner,,,9,10,6,7,9,[28/DNS],,41,7
USA,8554,Douglas Hagan,Rob Woelfel,,4,9,9,[12],11,9,,42,8
USA,8854,Bruce Mahoney,Richard Clark,,6,[28/DNS],28/DNS,5,3,3,,45,9
USA,8829,Tyler Moore,Eben Russell,,12,8,8,11,[16],14,,53,10
USA,7875,Jeff Miller,,,11,7,[28/DNS],13,10,13,,54,11
USA,8937,Kevin Taugher,Jon Bell,,7,[28/DNS],28/DNS,8,4,10,,57,12
USA,8813,Mathias Kennerknecht,,,16,14,13,[17],13,11,,67,13
USA,7886,Brian Haines,Pat Diola,,13,13,12,[20],14,16,,68,14
USA,7873,Mark Dowdy,Jason Bright,,[17],12,14,15,17,15,,73,15
USA,8680,Bruce Edwards,,,[28/DNS],28/DNS,28/DNS,9,7,7,,79,16
USA,8821,Katherine Long,Stephen Long,,19,15,11,[23],19,17,,81,17
USA,8411,Bill Jenkins,Dan Merino,,[28/DNF],11,28/DNS,18,15,12,,84,18
USA,8*,Mark Christensen,Arthur Kinsolving,,15,[28/DNS],10,19,18,28/DNS,,90,19
USA,8888,Philippe Kahn,Andrew Estcourt,,18,17,[28/DNS],22,20,28/DNS,,105,20
USA,8831,Pierre Jeangirard,,,8,[28/DNS],28/DNS,16,28/DNS,28/DNS,,108,21
USA,7156,Aaron Ross,Rob Waterman,,14,[28/DNF],28/DNS,14,28/DNS,28/DNS,,112,22
USA,8904,Hubert Guy,,,[28/DNS],16,28/DNF,21,28/DNF,28/DNS,,121,23
USA,8786,Stephen Gay,,,20,18,[28/DNS],28/DNS,28/DNS,28/DNF,,122,24
USA,831*,Charles Dore,Jason Jol,,[28/DNS],28/DNS,28/DNS,28/DNS,28/DNS,28/DNS,,140.00T,25T
USA,8808,Evert Meyer,Pietro Fantoni,,[28/DNS],28/DNS,28/DNS,28/DNS,28/DNF,28/DNS,,140.00T,25T
USA,8884,Ian O'Leary,Patrick Waver,,[28/DNF],28/DNS,28/DNS,28/DNS,28/DNF,28/DNS,,140.00T,25T
