Pos,Sail,Skipper,,,Race 1,Race 2,Race 3,Total Points,Pos
USA,814*,Stergios Papadakis,,,1,1,1,3.00,1
USA,8854,Bryan Richardson,,,2,2,3,7.00,2
USA,8538,Amie Boothe,,,3,3,2,8.00,3
USA,7359,Catherine Guiader,,,4,4,6/DNC,14.00,4
USA,7148,John Bergquist,,,6/DNF,6/DNF,6/DNF,18.00,5
