Nation,Sail NO,Skipper,,Yacht Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Boat,Total,Pos
USA,9080,Howard Hamlin,,NHYC,2,2,1,2,2,1,[3],2,2,The Blue Boat,14,1
USA,9106,Mike Martin,,NHYC / StFYC,1,1,2,1,3,6,1,3,[11/RET],Mike's boat,18,2
USA,9041,Henry Amthor,,Hampton YC,4,[7],7,4,1,2,2,5,3,Benchmark,28,3
USA,8831,Paul Vongrey,,winsa,[6],3,5,3,5,3,5,4,1,,29,4
USA,9042,Justin Shaffer,,American,3,4,6,7,7,4,4,1,[11/RET],,36,5
CAN,8192,Philip Cragg,,Royal Vancouver Yacht Club,5,5,4,[6],4,5,6,6,4,,39,6
USA,7156,Aaron Ross,,Santa Cruz Yacht Club,7,8,[11/DNS],11/DNS,6,7,7,11/DNS,11/DNS,Erik the Blue,68,7
USA,8824,Jennifer Morgan Glass,,SYC,[11/DNF],6,3,5,11/DNS,11/DNS,11/DNS,11/DNS,11/DNS,Black Betty,69,8
GBR,8435,Sean Rankins,,port townsend sailing association,8,9,[11/DNF],8,11/DNS,11/DNS,11/DNS,11/DNS,11/DNS,angel's share,80,9
USA,8868,Piper Dunlap,,none,[11/DNC],11/DNC,11/DNC,11/DNC,11/DNS,11/DNS,11/DNS,11/DNS,11/DNS,dooflicker,88,10
