Nation,SailNo,HelmName,CrewName,Club,R1,R2,R3,R4,Boat,Total,Nett,Rank
GBR,9088,Andy Smith,Tim Needham,Notts County,(6 DNS),1,1,1,Gill Race Team,9,3,1st
GBR,9002,Peter Bennett,Tyler Harmsworth,Shoreham,1,-3,2,2,Desperado,8,5,2nd
GBR,9104,Neil Rabbitts,Adam Kenney,Burton,2,2,-3,3,FFS,10,7,3rd
GBR,8955,Ben Iliffe,Simon Lake,King George,3,(6 DNF),4,4,,17,11,4th
GBR,7270,Katie Sellar,David Sellar,Shoreham,(6 DNF),6 DNS,5,5,Simply Blue,22,16,5th
