Ident,Concurrents,,,Club / Pays,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Crew Club,P Tot,Ret P,Rgs
GBR,9094,Pinnel Ian,Mitchell Ian,HISC,2,1,(5),3,1,4,1,,17,12,1
FRA,9076,Xavier Broise,Nicolas Des Jamonieres,S N P H,3,5,1,5,(11),2,7,S N P H,34,23,2
USA,9002,Holt Mike,Woelfel Rob,Etats Unis D'Am,4,2,7,2,(16),5,3,,39,23,3
GER,9054,Bogacki Morten,Dehne Lars,DYC,9,9,3,(26),4,1,10,,62,36,4
GBR,9088,Smith Andy,Needham Tim,NCSC,12,10,2,4,(19),8,2,,57,38,5
FRA,9075,Philippe Boite,Pierre Jean Gallo,C V ST QUENTIN,10,3,4,1,5,16,(DNC),S R HAVRE,100,39,6
GER,9090,Kellner Christian,Schoeler Martin,HSC,5,(16),8,12,7,6,4,,58,42,7
GER,8990,Achterberg Frieder,Stueckl Wolfgang,DTYC,1,4,20,7,(27),7,8,,74,47,8
GER,8928,Schweiger Stephan,Priegann Axel,SCLW,14,6,11,11,(21),3,6,,72,51,9
SUI,8954,Ueli Marti,Jacot Philippe,CNB,11,7,6,9,9,12,(DNF),,115,54,10
GER,9059,Heyer Sophie,Salein Sebastian,JSC,(18),8,10,16,2,10,12,,76,58,11
USA,9009,Edwards Bruce,Sheltnon Dave,YC ST FRANCIS,7,15,9,8,(18),13,9,,79,61,12
GER,8849,Bohnenberger Moritz,Lanatowitz Arne,DTYC,6,12,12,17,24,(DNF),5,,137,76,13
SUI,9096,Bart Cedric,Grob Laurent,CVB,16,17,15,10,13,11,(DNC),,143,82,14
FRA,9050,Herve De Kergariou,Basile Geron,CN ARRADON,17,(22),19,13,3,17,17,S N P H,108,86,15
GER,8975,Holzappel Alexander,Worm Stefan,PSVK,22,14,17,6,(32),15,13,,119,87,16
DEN,9023,Bojland Tom,Friis Anders,SKS,15,13,14,(21),10,14,DPI,DANISH SAILING AS.,108,87,17
SUI,8569,Jacot Caroline,Betschen Rene,CNB,8,18,21,(28),26,9,19,,129,101,18
GER,9011,Daisenberger Micki,Bolduan Tobi,DTYC,13,21,(23),15,17,21,18,,128,105,19
FRA,8515,Nicolas Croce,Florian Faucheux,C N CANET PERPIGNAN,21,20,(26),20,15,18,14,C N CANET PERPIGNAN,134,108,20
GER,8988,Thies Olivier,Engel Christoph,HSC,20,27,(42),33,8,20,11,,161,119,21
GER,8807,Weiss Maxililian,Vogt Jonas,DTYC,23,23,16,14,25,(27),23,,151,124,22
FRA,8716,Aline Martin,Fabrice Toupet,C V SEINE-PORT,24,26,(31),19,14,22,20,C V SEINE-PORT,156,125,23
GER,9100,Schultz Hendrik,Oberlander Ute,SCLW,19,24,25,32,20,(40),16,,176,136,24
FRA,8948,Nicolas Guillou,Henry Chevet,S N P H,(37),28,22,29,23,25,26,S N P H,190,153,25
FRA,8900,Serge Gubri,Thibault Di Pede,C V SEINE-PORT,25,35,32,23,12,(49),30,C V SEINE-PORT,206,157,26
FRA,8683,Martin Peculier,Geraud Lafortune,S N O NANTES,26,25,24,(48),44,19,25,C V SEINE-PORT,211,163,27
GBR,9079,Rush Tim,Short Andy,SCN,(DNF),11,13,18,6,DNF,DNC,,231,170,28
FRA,8752,Nicolas Martin,Julien Lafortune,C V SEINE-PORT,29,(51),27,24,30,34,27,C V SEINE-PORT,222,171,29
FRA,8870,Christian Silvestre,Nicolas Auberger,Y C ILE DE FRANCE,27,32,33,31,29,23,(34),Y C Grenoble Chara,209,175,30
FRA,8961,Marc Vibert,Bertrand Lapeyre,C.V.M.L,(49),19,18,DPI,37,33,24,S N P H,228,179,31
FRA,8687,Jean Philippe Hermieu,Christian Simonnot,U S TROPEZIENNE,32,(44),30,27,39,28,29,Y C TOULON,229,185,32
FRA,9056,Yves Niddam,Alain Tosello,Y C BEAULIEU,31,30,41,25,DPI,26,(DNF),LES VOILES D ANTIBES,248,187,33
FRA,9044,Mathieu Devaux,Philippe Dubuc,S R FECAMP,36,31,37,(39),35,30,21,S R FECAMP,229,190,34
GER,8672,Contag Karsten,Von Walter Guido,SCLW,28,33,40,22,38,37,(DNC),,259,198,35
FRA,8909,Francis Doerenbecher,Philippe Wolff,C N DE SCIEZ,33,(47),43,36,45,24,22,AC ALSACE LORRAINE,250,203,36
FRA,8773,Philippe Markt,Gael Conversy,Y C BEAULIEU,39,37,36,30,(DPI),41,31,Y C BEAULIEU,271,214,37
FRA,8729,Ronnback Robert,Jordane Lafortune,FRANCE,34,46,(51),34,46,29,32,C V SEINE-PORT,272,221,38
GER,8777,Olbrysch Jens,Ecleot Konig,HSC,35,36,35,DPI,41,38,(DNC),,287,226,39
GER,8843,Kraft Olivier,Heimburger Franck,SSCM,42,48,29,(DNF),50,32,28,,290,229,40
FRA,9012,Arnaud Dini,Melissa Ferrois,YC POINTE ROUGE,(46),42,39,43,40,31,35,YC POINTE ROUGE,276,230,41
AUT,8921,Schmidt Martin,Mayrhofer Michael,WSCW,38,34,38,45,33,44,(DNC),,293,232,42
FRA,7941,Veronique Brenet,Jean-Pierre Peter,AC ALSACE LORRAINE,43,39,45,(DNC),36,36,33,AC ALSACE LORRAINE,293,232,43
FRA,8899,Alain Karadjian,Jean Philippe Gastaud,C V ST QUENTIN,(50),38,44,41,42,39,37,C N CROISETTE,291,241,44
SUI,9060,Houriet Catherine,Donze Gill,YC GENEVE,40,29,28,(DNC),DPI,DNF,DNC,,308,247,45
FRA,8980,Michel Boiry,Antoine Ratouis,C .V. de PARIS,(51),49,48,37,47,42,38,B N DE SCIEZ,312,261,46
ITA,8671,Piacquado Giacinto,Messina Andrea,YC CERN,41,45,DPI,44,DPI,45,(DNC),,328,267,47
FRA,8362,Mathieu Glade,Olivier Magret,S N DE SANARY,45,53,DPI,51,31,35,(DNC),Y C LONDAIS,329,268,48
FRA,8695,Jean-Guy Puissant,Bernard Le Guen,CV LAC 3 PROVINCES,48,41,50,38,48,43,(DNC),DAUPHINS WIND JOCON.,329,268,49
FRA,9024,Claude Gachet,Kleber Valery,Y C Grenoble Chara,44,43,49,49,43,46,(DNF),Y C Grenoble Chara,335,274,50
FRA,9086,Elisabeth Neidhart,Matthieu Gougeon,C.V.M.L,30,40,34,(DNC),49,DNF,DNF,C.V.M.L,336,275,51
SUI,8727,Nydegger Lorenz,Nydegger Martin,Suisse,47,50,DPI,40,53,47,(DNC),,356,295,52
ITA,8944,Manzi Luca,Cucasso Filippo,YCI,(DNF),DNC,DNC,52,54,48,36,,373,312,53
FRA,8711,Jerome Maupay,Francois Caminade,Y C Grenoble Chara,(DNF),DNC,DNC,46,56,50,DNF,Y C Grenoble Chara,396,335,54
FRA,8950,Eric Quemard,Victor Antoine,C .V. de PARIS,53,52,(DNF),DPI,57,DNF,DNF,,404,343,55
FRA,4664,Denis David,Gilles Casanova,Club Var Mer,(DNC),DNC,DNC,50,52,DNF,DNC,Club Var Mer,407,346,56
GER,8473,Bokle Christoph,Marker Michael,SSCM,54,55,(DNC),DNC,55,DNF,DNC,,408,347,57
FRA,9014,Louis Gibert,Edith Castillon,C N ANTIBES,55,54,(DNF),DNC,58,DNF,DNC,C N ANTIBES,411,350,58
GER,8962,Matscheroth Brodwurm Pia,Hoering Sebastian,RCO,52,(DNF),DNF,DNF,DNF,DNF,DNC,,418,357,59
DEN,9025,Garver Anna,Pedersen Mark,NB,(DNC),DNC,DNC,DNC,DNF,DNF,DNC,,427,366,NDA
