Nation,SailNo,HelmName,CrewName,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,Total,Nett,Rank
CAN,8600,Marie Gendron,Andrew Gesing,NSC,1,1,(3.0),2,1,1,1,3,(4.0),17,10,1st
CAN,9138,Robert Bartlewski,Marek Balinski,OHCC,2,2,1,(3.0),(3.0),2,2,1,3,19,13,2nd
CAN,8467,Paul Clifford,Tim Willett,OHCC,(4.0),3,2,1,2,(4.0),4,2,2,24,16,3rd
CAN,8722,Renka Gessing,Adam Gessing,OHCC,3,(4.0),4,4,(5.0),3,3,4,1,31,22,4th
CAN,8288,Darren Monster,Tony Zakrasjek,OHCC,5,5,5,5,4,(6.0 DNS),(6.0 DNS),6.0 DNS,6.0 DNS,48,36,5th
