SailNo,HelmName,CrewName,BoatName,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,Total,Nett,Rank
USA 8823,Mats Elf,Langdon Junge,Good Times,(3.0),1,1,2,1,1,1,1,2, ,13,10,1st
CAN 8866,Cynthia Des Brisay,Charles Hansen,Non-Sequitor,1,3,4,3,(6.0),5,3,6,1, ,32,26,2nd
CAN 7353,John Hayley,Ian Plumbley,Grumpy Old Men,2,(10.0 RET),10.0 DNS,4,2,3,2,2,3, ,38,28,3rd
USA 6991,Courtney Starks,Sugar Flanagan,Zaya,5,2,2,5,3,4,5,(10.0 OCS),4, ,40,30,4th
USA 8868,Cody Kowalski,Dan Ginther,Dooflicker,4,4,3,1,4,2,8,(10.0 DNC),10.0 DNC, ,46,36,5th
USA 7206,Anne Fitzpatrick,Chris Pittack,Watery Tart,6,7,7,(8.0),7,7,4,3,5, ,54,46,6th
CAN 8755,Brian Trainor,Evan Jennings,Kryptonite,8,5,5,7,5,6,6,4,(10.0 OCS), ,56,46,7th
8068,Adam Gooderham,Alec Francis,ClubBoat,7,6,6,6,(8.0),8,7,5,6, ,59,51,8th
USA 7610,Chris Hubbard,Reid Shaffer,Bugbear,9,8,(10.0 DNC),10.0 DNC,10.0 DNC,9,9,7,7, ,79,69,9th
