Nation,Sail No,Skipper,,Club,R1,R2,R3,R4,R5,Total,Boat Name,Nett,Rank
CAN,8288,Paul Clifford,,OHCC,(4.00),2,2,0.75,0.75,9.5, ,5.5,1st
CAN,8600,Marie Gendron,,NSC,0.75,5,(6.00),2,2,15.75,Mistery,9.75,2nd
CAN,7346,Debbie Ashby,,NSC,6,0.75,0.75,(7.00),7,21.5,Loose Unit,14.5,3rd
CAN,8735,Brent Beninger,,NSC,3,4,5,(8.00),3,23,Spaghetti Factory,15,4th
CAN,8610,Shona Weldon,,NSC,(7.00),3,3,4,5,22,Plane Chaos,15,5th
CAN,6910,John Bryant,,NSC,(10.00 RET),7,4,6,4,31,Toil and Trouble,21,6th
CAN,8260,Steve Lovshin,,NSC,(8.00),8,7,3,6,32,Red Rocket,24,7th
CAN,7605,Renka Gesing,,OHCC,5,6,(8.00),5,8,32,No name,24,8th
CAN,8645,Marg Hurley,,NSC,2,(10.00 DNC),10.00 DNC,10.00 DNC,10.00 DNC,42,Green With Envy,32,9th
