Nation,SailNo,Skipper,,Club,R1 11/21,R2 11/21,R3 11/21,R4 11/21,R5 11/21,Boat,Total,Points,Place
USA,8815,Fritz Lanzinger,,CYC,(1.0),1,1,1,1,(LANZINGER2),5,4,1st
USA,8017,Derek Campbell,,CYC,(2.0),2,2,2,2,FIGHTING YELLOW LADY,10,8,2nd
USA,8577,Bruce Van Deventer,,CYC,(7.0 DNC),3,4,4.0 OCS,3,(VANDEVENTER),21,14,3rd
USA,8799,Angus Brackett,,GUEST,4,4,3,4.0 DNF,(5.0 DNF),RELISH,20,15,4th
USA,8245,Charlie Dore,,CGYC,(7.0 DNC),5,5,3,4,Narley,24,17,5th
USA,8824,Andrew Loe,Ben Glass,SYC,3,6.0 DNF,(7.0 DNC),5.0 DNC,6.0 DNC,RECYCLED DINOSAURS,27,20,6th
USA,6808,Piper Dunlap,,PTSA,5,(7.0 DNC),7.0 DNC,5.0 DNC,6.0 DNC,EIGHT BALL,30,23,7th
