Nation,Boat No,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total,Position
USA,8013,Mike Punnett,Scott Iklé,,7,1,1,4,1,2,DNS,24,1
CAN,8264,Jeff Boyd,Martin ten Hove,,3,5,2,1,4,4,DNS,"34,7",2
USA,8191,Macy Nelson,John Fry,,11,10,3,13,3,1,1,"40,1",3
USA,8083,Keegan,Dave Dyson,,1,3,10,6,7,6,2,"45,1",4
CAN,8263,"Alexander ""Ali"" Meller",Mike Smith,,4,8,7,2,10,3,3,"49,4",5
USA,7100,Neal Fowler,VanVoorhis,,6,4,6,3,2,5,DNS,"50,1",6
USA,7318,Nick Trotman,Adams,,2,9,11,7,5,10,5,67,7
USA,8194,Thomas Kivney,Dave Penfield,,10,21,8,5,9,8,7,82,8
USA,8018,James L. Jacob,Jan Lynch,,15,16,4,11,13,7,4,86,9
USA,7681,Henry Amthor,Barb Amthor,,14,6,5,12,8,15,9,"88,7",10
CAN,8260,Moss,Blair,,17,13,12,9,6,11,6,"92,4",11
CAN,7148,Rick Hewitt,Lovshin,,4,2,19,DNF,DNS,9,8,97,12
USA,8311,Barry Kuehl,Mills,,12,12,9,PMS,11,12,11,103,13
USA,7092,Kenny Elliot,Allen Kilgore,,9,19,14,8,14,13,10,104,14
USA,8015,Mignerey,Monty Schumpert,,5,7,21,20,15,19,DNS,122,15
