Fleet,SailNo,HelmName,CrewName,Club,4/5-1,4/5-2,11/5-1,11/5-2,18/5-1,18/5-2,25/5-1,25/5-2,1/6-1,1/6-2,8/6-1,8/6-2,17/8-1,31/8-1,31/8-2,7/9-1,7/9-2,14/9-1,14/9-2,Total,Poäng,Rank
SWE,8694,Tomas Berg,Johan Barne,SSKA,2,2,2,1,1,2,1,2,3,1,[9],[5],[16 DNC],3,5,5,3,1,2,66,36,1st
SWE,9002,Per Wester,Lars Wester,BKSS,1,1,5 DNS,5 DNS,[16 DNC],[16 DNC],6,3,4,4,7,[8],1,4,2,2,1,2,1,89,49,2nd
SWE,8974,Malin Broberg,Johan Röök,BKSS,[16 DNC],[16 DNC],1,2,[16 DNC],16 DNC,16 DNC,16 DNC,1,3,4,1,2,1,1,1,2,16 DNC,16 DNC,147,99,3rd
SWE,9014,Alain Dupuis,Patric Wollmersson,BKSS,[16 DNC],[16 DNC],[16 DNC],16 DNC,3,5,5,6,2,5,5,12 OCS,5,5,7,3,5,16 DNC,16 DNC,164,116,4th
SWE,9107,Fredrik Hansson,Sven Flood,BKSS,3,4,[16 DNC],[16 DNC],[16 DNC],16 DNC,4,4,6,7,8,4,7,8,9,6,4,16 DNC,16 DNC,170,122,5th
SWE,8962,Peter Bökmark,Martin Persson,BKSS,[16 DNC],[16 DNC],[16 DNC],16 DNC,2,1,2,1,9 OCS,2,3,2,3,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,185,137,6th
SWE,8412,Olof Bengtsson,Robin Eliasson,USS,5,5,5 DNS,3,6,4,8,8,[16 DNC],[16 DNC],[16 DNC],16 DNC,9,9,6,16 DNC,16 DNC,16 DNC,16 DNC,196,148,7th
SWE,8787,Johan Johansson,Anders Barne,BKSS,[16 DNC],[16 DNC],[16 DNC],16 DNC,5,3,7,5,16 DNC,16 DNC,12 DNS,7,16 DNC,7,8,16 DNC,16 DNC,3,3,204,156,8th
SWE,9117,Fredrik Molander,Thomas Jaxing,LDSS,4,3,[16 DNC],[16 DNC],[16 DNC],16 DNC,3,7,5,6,6,9,4,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,207,159,9th
SWE,8793,Lasse Båth,Hans Lindh,BKSS,[16 DNC],[16 DNC],[16 DNC],16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,9 OCS,8,10,10,8,16 DNC,16 DNC,4,7 DNS,16 DNC,16 DNC,248,200,10th
SWE,8848,Johannes Prison,Johan Calvert,BKSS,[16 DNC],[16 DNC],[16 DNC],16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,2,6,16 DNC,6,4,16 DNC,16 DNC,16 DNC,16 DNC,258,210,11th
SWE,8585,Keith Swindon,Kyle Langford,AUS,[16 DNC],[16 DNC],[16 DNC],16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,1,3,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,276,228,12th
SWE,9038,Mikael Gustafsson,Tore Reinhold,BKSS,[16 DNC],[16 DNC],[16 DNC],16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,2,3,16 DNC,16 DNC,16 DNC,16 DNC,277,229,13th
SWE,8917,Jesper Fowelin,Erik Wallmark,ÖSS,[16 DNC],[16 DNC],[16 DNC],16 DNC,4,6,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,282,234,14th
SWE,8632,Mats Lindgren,Andreas Carlsson,BKSS,[16 DNC],[16 DNC],[16 DNC],16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,6,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,294,246,15th
