Nation,Boat,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,T,Place
USA,8680,Bruce Edwards,David Shelton,,2,1,2,2,3,3,5*,4*,1,2,1,17,1
,8554,Douglas Hagan,Stewart Park,,4*,3,3,4,4,4,1,3,2,1,5*,25,2
,8815,Kris Bundy,Fritz Lanzinger,,3,4,6,1,11*,2,2,7,8,9*,3,36,3
USA,7873,Nick Adamson,Alan Norman,,1,7,1,9*,2,8,4,10*,7,4,9,43,4
,8792,Carol Buchan,Carl Buchan,,5,19 DNF*,5,3,10,5,3,1,4,14,8,44,5
USA,7349,Mike Holt,Carl Smit,,10*,2,4,11*,9,6,7,5,3,6,6,48,6
,7069,Adam Lowry,David Byron,,19 DNF*,5,19 DNF*,7,8,1,19 RAF,2,5,3,2,52,7
,8731,Thad Lieb,Mike Smith,,7,6,7,5,6,9*,6,9*,9,5,7,58,8
,8411,Pierre Jeangirary,Paul Vongray,,6,8,8,8,7,7,19 DSQ*,8,11,12*,11,74,9
CAN,7094,Philip Cragg,David Cross,,8,19 DNS*,19 DNS*,10,1,10,10,12,10,8,10,79,10
USA,8616,Dave Chatham,Jeff Nelson,,19 DNS*,19 DNS*,19 DNS,6,5,DSQ,8,6,6,7,4,80,11
,8763,Peter Tuck,Mark Wiltz,,9,9,9,13,14*,11,11,14*,13,13,12,100,12
,7201,Nigel Oswald,Karl Oswald,,19 DNS*,19 DNS*,19 DNS,12,16,19 RAF,9,11,12,10,19 DNF,127,13
,8453,Stuart Sinclair,Richard Elstrom,,11,19 DNF*,19 DNF*,18,12,19 RAF,14,17,14,11,13,129,14
,8617,Paul Pihl,Craig Cammock,,19 DNS*,19 DNS*,19 DNS,14,15,14,13,13,15,19 DNF,19 DNF,141,15
,8577,Bruce Van Deventer,Scott Weliler,,19 DNF*,19 DNS*,19 DNS,16,13,12,12,16,16,19 DNF,19 DNC,142,16
,7111,Anthony Devito,Andrew Mesher,,19 DNF*,19 DNS*,19 DNS,15,17,15,DSQ,15,17,15,14,146,17
,8647,Don Henry,Michael Zimmerman,,19 DNC*,19 DNC*,19 DNC,17,18,13,15,19 DNF,18,19 DNC,19 DNC,157,18
