Nation,#,Skipper,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Total,Place
USA,8714,Howard Hamlin,Peter Alarie,,2,1,1,2,3,4,2,1,16,1
USA,8554,Doug Hagan,Stuart Park,,3,4,4,4,1,1,3,3,23,2
USA,7873,Nick Adamson,Alan Norman,,1,6,3,3,4,10,1,4,32,3
USA,8762,Dan Thompson,Dan Downing,,23 dnc,3,2,1,2,6,5,2,44,4
USA,7875,Jeff Miller,Paul Allen,,8,11,9,5,5,13,4,6,61,5
USA,8411,Bill Jenkins,Dan Merino,,10,2,11,6,6,9,10,8,62,6
USA,7771P,Andy Beckman,Ben Benjamin,,11,8,6,12,9,7,6,5,64,7
USA,7771B,Kevin Taugher,Jorge Suarez - Fri. Chuck Tripp,,9,9,10,7,8,5,11,7,66,8
USA,8731,Thad Lieb,Mike Smith,,6,10,8,13,10,2,9,11,69,9
USA,8616,Davy Chatham,Jeff Nelson,,5,5,5,10,12,16,8,9,70,10
USA,6992,Brad Wheeler,Bill Mais,,7,7,7,8,7,12,13,12,73,11
USA,7156,Aaron Ross,Bruce Tiley,,4,16,13,9,16,17,12,13,100,12
USA,7886,Kristin Strellis,Dan Strellis,,12,13,12,14,17,8,16,15,107,13
USA,7069,Adam Lowry,Dave Byron,,23 dnc,23 dnc,23 dnc,11,11,3,7,10,111,14
USA,8559,Pierre Jeangirard,Hubert Guy,,13,12,14,15,15,15,14,14,112,15
USA,8024,Steve Schnelker,Karl Liebat,,14,14,15,16,14,14,15,16,118,16
USA,7152,Mike Jue,Marc Winger,,15,15,16,17,18,11,17,19,128,17
USA,3612,Karl Deardorff,Jim Picard,,16,17,19,20,20,19,18,18,147,18
USA,6931,Bill McKinney,Mark Kurzava,,23 dnc,18,18,19,19,20,19,17,153,19
USA,7773,John Billings,John Billings III,,23 dnc,19,17,18,13,18,23 dnc,23 dnc,154,20
USA,6571,Geoff Nelson,Lee Such,,23 dnc,23 dnc,23 dnc,21,21,23 dnc,21,20,175,21
USA,5687,Bryce Davis,Andrea Freice,,23 dnc,23 dnf,23 dnc,23 dnc,22,23 dnc,20,23 dnc,180,22
