Sail,Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,T,N,Nr
FIN,9043,Hannu Pöyry,Matti Dillemuth,VVK,1,2,1,1,1,[3],9,6,1
FIN,9069,Tuomas Laurila,Juho Pirhonen,EMK,[4 UFD],1,3,2,3,1,14,10,2
FIN,8912,Raimo Raita,Juha Nurmela,Vene 71,2,[3],2,3,2,2,14,11,3
