Sail,Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,T,N,Nr
FIN,8927,Kaj Lindfors,Johan Halonen,ASS,3,1,1,1,6,6,1
FIN,8678,Tatu Miettinen,Ville Tarvo,EMK,2,2,2,2,8,8,2
FIN,9043,Hannu Pöyry,,VVK,5,4,3,4,16,16,3
FIN,9069,Rosemarie Hartman,Tuomas Laurila,M,1,3,6,7 DNS,17,17,4
FIN,9212,Thomas Held,Timo Vennonen,BSS,6,5,4,3,18,18,5
FIN,8907,Mikko Laine,Ilkka Tuomi,TPS,4,6,5,5,20,20,6
