Sail,Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Netto,Place
DEN,9055,Fabiola Wonterghem,Michael Wonterghem,Holbæk Sejlklub,1,1,1,1,[3],2,9,6,1
FIN,8927,Kaj Lindfors,Johan Halonen,ASS,3,2,2,2,2,[5],16,11,2
SWE,9143,Thomas Lundberg,Johan Strömdahl,Royal Swedish Yacht Club,4,4,[7],4,1,1,21,14,3
FIN,8835,Otto Toivanen,Matti Pentti,HSK,2,3,4,5,4,[8],26,18,4
FIN,8678,Tatu Miettinen,Ville Tarvo,LPS,[6],5,3,6,5,3,28,22,5
FIN,9069,Rosemarie Hartman,Tuomas Laurila,M,5,[6],6,3,6,4,30,24,6
FIN,8907,Mikko Laine,Ilkka Tuomi,TPS,7,[8],5,8,8,7,43,35,7
FIN,8053,Petri Ebeling,Juhani Heimsch,HSK,[13 DNF],9,9,7,9,9,56,43,8
FIN,9212,Thomas Held,Timo Vennonen,BSS,[13 DNF],10,13 DNF,10,7,6,59,46,9
FIN,9043,Hannu Pöyry,Matti Dillemuth,VVK,9,7,8,9,[13 DNC],13 DNC,59,46,10
FIN,7922,Olle Martonen,Mikael Nylund,WSF,10,[11],10,11,10,10,62,51,11
FIN,8912,Raimo Raita,Juha Nurmela,Vene 71,8,[13 DNS],13 DNC,13 DNS,13 DNC,13 DNC,73,60,12
